track_section,hour,scheduled_train_count
LKO-CNB-011,20,9
LKO-CNB-011,21,6
LKO-CNB-011,22,4
LKO-CNB-011,23,3
JP-AII-033,0,1
JP-AII-033,1,1
JP-AII-033,2,0
JP-AII-033,3,0
JP-AII-033,4,1
JP-AII-033,5,3
JP-AII-033,6,8
JP-AII-033,7,10
JP-AII-033,8,9
JP-AII-033,9,6
JP-AII-033,10,6
JP-AII-033,11,6
JP-AII-033,12,7
JP-AII-033,13,6
JP-AII-033,14,6
JP-AII-033,15,6
JP-AII-033,16,8
JP-AII-033,17,10
JP-AII-033,18,9
JP-AII-033,19,7
JP-AII-033,20,5
JP-AII-033,21,3
JP-AII-033,22,2
JP-AII-033,23,1
GHY-NJP-027,0,1
GHY-NJP-027,1,1
GHY-NJP-027,2,0
GHY-NJP-027,3,0
GHY-NJP-027,4,1
GHY-NJP-027,5,3
GHY-NJP-027,6,8
GHY-NJP-027,7,10
GHY-NJP-027,8,9
GHY-NJP-027,9,6
GHY-NJP-027,10,6
GHY-NJP-027,11,6
GHY-NJP-027,12,7
GHY-NJP-027,13,6
GHY-NJP-027,14,6
GHY-NJP-027,15,6
GHY-NJP-027,16,8
GHY-NJP-027,17,10
GHY-NJP-027,18,9
GHY-NJP-027,19,7
GHY-NJP-027,20,5
GHY-NJP-027,21,3
GHY-NJP-027,22,2
GHY-NJP-027,23,1
ADI-BRC-016,0,0
ADI-BRC-016,1,0
ADI-BRC-016,2,0
ADI-BRC-016,3,0
ADI-BRC-016,4,0
ADI-BRC-016,5,1
ADI-BRC-016,6,3
ADI-BRC-016,7,4
ADI-BRC-016,8,3
ADI-BRC-016,9,2
ADI-BRC-016,10,2
ADI-BRC-016,11,2
ADI-BRC-016,12,3
ADI-BRC-016,13,2
ADI-BRC-016,14,2
ADI-BRC-016,15,2
ADI-BRC-016,16,3
ADI-BRC-016,17,4
ADI-BRC-016,18,3
ADI-BRC-016,19,2
ADI-BRC-016,20,1
ADI-BRC-016,21,1
ADI-BRC-016,22,0
ADI-BRC-016,23,0
SC-KZJ-029,0,1
SC-KZJ-029,1,1
SC-KZJ-029,2,0
SC-KZJ-029,3,0
SC-KZJ-029,4,1
SC-KZJ-029,5,3
SC-KZJ-029,6,8
SC-KZJ-029,7,10
SC-KZJ-029,8,9
SC-KZJ-029,9,6
SC-KZJ-029,10,6
SC-KZJ-029,11,6
SC-KZJ-029,12,7
SC-KZJ-029,13,6
SC-KZJ-029,14,6
SC-KZJ-029,15,6
SC-KZJ-029,16,8
SC-KZJ-029,17,10
SC-KZJ-029,18,9
SC-KZJ-029,19,7
SC-KZJ-029,20,5
SC-KZJ-029,21,3
SC-KZJ-029,22,2
SC-KZJ-029,23,1
NGP-BSP-013,0,0
NGP-BSP-013,1,0
NGP-BSP-013,2,0
NGP-BSP-013,3,0
NGP-BSP-013,4,0
NGP-BSP-013,5,1
NGP-BSP-013,6,3
NGP-BSP-013,7,4
NGP-BSP-013,8,3
NGP-BSP-013,9,2
NGP-BSP-013,10,2
NGP-BSP-013,11,2
NGP-BSP-013,12,3
NGP-BSP-013,13,2
NGP-BSP-013,14,2
NGP-BSP-013,15,2
NGP-BSP-013,16,3
NGP-BSP-013,17,4
NGP-BSP-013,18,3
NGP-BSP-013,19,2
NGP-BSP-013,20,1
NGP-BSP-013,21,1
NGP-BSP-013,22,0
NGP-BSP-013,23,0
PNBE-DNR-021,0,1
PNBE-DNR-021,1,1
PNBE-DNR-021,2,0
PNBE-DNR-021,3,0
PNBE-DNR-021,4,1
PNBE-DNR-021,5,3
PNBE-DNR-021,6,8
PNBE-DNR-021,7,10
PNBE-DNR-021,8,9
PNBE-DNR-021,9,6
PNBE-DNR-021,10,6
PNBE-DNR-021,11,6
PNBE-DNR-021,12,7
PNBE-DNR-021,13,6
PNBE-DNR-021,14,6
PNBE-DNR-021,15,6
PNBE-DNR-021,16,8
PNBE-DNR-021,17,10
PNBE-DNR-021,18,9
PNBE-DNR-021,19,7
PNBE-DNR-021,20,5
PNBE-DNR-021,21,3
PNBE-DNR-021,22,2
PNBE-DNR-021,23,1
ERS-CAN-008,0,2
ERS-CAN-008,1,1
ERS-CAN-008,2,1
ERS-CAN-008,3,1
ERS-CAN-008,4,2
ERS-CAN-008,5,6
ERS-CAN-008,6,14
ERS-CAN-008,7,18
ERS-CAN-008,8,15
ERS-CAN-008,9,11
ERS-CAN-008,10,10
ERS-CAN-008,11,11
ERS-CAN-008,12,12
ERS-CAN-008,13,11
ERS-CAN-008,14,10
ERS-CAN-008,15,11
ERS-CAN-008,16,13
ERS-CAN-008,17,17
ERS-CAN-008,18,16
ERS-CAN-008,19,12
ERS-CAN-008,20,9
ERS-CAN-008,21,6
ERS-CAN-008,22,4
ERS-CAN-008,23,3
JU-BME-019,0,1
JU-BME-019,1,1
JU-BME-019,2,0
JU-BME-019,3,0
JU-BME-019,4,1
JU-BME-019,5,3
JU-BME-019,6,8
JU-BME-019,7,10
JU-BME-019,8,9
JU-BME-019,9,6
JU-BME-019,10,6
JU-BME-019,11,6
JU-BME-019,12,7
JU-BME-019,13,6
JU-BME-019,14,6
JU-BME-019,15,6
JU-BME-019,16,8
JU-BME-019,17,10
JU-BME-019,18,9
JU-BME-019,19,7
JU-BME-019,20,5
JU-BME-019,21,3
JU-BME-019,22,2
JU-BME-019,23,1
ASN-DHN-026,0,2
ASN-DHN-026,1,1
ASN-DHN-026,2,1
ASN-DHN-026,3,1
ASN-DHN-026,4,2
ASN-DHN-026,5,6
ASN-DHN-026,6,14
ASN-DHN-026,7,18
ASN-DHN-026,8,15
ASN-DHN-026,9,11
ASN-DHN-026,10,10
ASN-DHN-026,11,11
ASN-DHN-026,12,12
ASN-DHN-026,13,11
ASN-DHN-026,14,10
ASN-DHN-026,15,11
ASN-DHN-026,16,13
ASN-DHN-026,17,17
ASN-DHN-026,18,16
ASN-DHN-026,19,12
ASN-DHN-026,20,9
ASN-DHN-026,21,6
ASN-DHN-026,22,4
ASN-DHN-026,23,3
TATA-KGP-015,0,0
TATA-KGP-015,1,0
TATA-KGP-015,2,0
TATA-KGP-015,3,0
TATA-KGP-015,4,0
TATA-KGP-015,5,1
TATA-KGP-015,6,3
TATA-KGP-015,7,4
TATA-KGP-015,8,3
TATA-KGP-015,9,2
TATA-KGP-015,10,2
TATA-KGP-015,11,2
TATA-KGP-015,12,3
TATA-KGP-015,13,2
TATA-KGP-015,14,2
TATA-KGP-015,15,2
TATA-KGP-015,16,3
TATA-KGP-015,17,4
TATA-KGP-015,18,3
TATA-KGP-015,19,2
TATA-KGP-015,20,1
TATA-KGP-015,21,1
TATA-KGP-015,22,0
TATA-KGP-015,23,0
RNC-CKP-023,0,1
RNC-CKP-023,1,1
RNC-CKP-023,2,0
RNC-CKP-023,3,0
RNC-CKP-023,4,1
RNC-CKP-023,5,3
RNC-CKP-023,6,8
RNC-CKP-023,7,10
RNC-CKP-023,8,9
RNC-CKP-023,9,6
RNC-CKP-023,10,6
RNC-CKP-023,11,6
RNC-CKP-023,12,7
RNC-CKP-023,13,6
RNC-CKP-023,14,6
RNC-CKP-023,15,6
RNC-CKP-023,16,8
RNC-CKP-023,17,10
RNC-CKP-023,18,9
RNC-CKP-023,19,7
RNC-CKP-023,20,5
RNC-CKP-023,21,3
RNC-CKP-023,22,2
RNC-CKP-023,23,1
BZA-VSKP-020,0,0
BZA-VSKP-020,1,0
BZA-VSKP-020,2,0
BZA-VSKP-020,3,0
BZA-VSKP-020,4,0
BZA-VSKP-020,5,1
BZA-VSKP-020,6,3
BZA-VSKP-020,7,4
BZA-VSKP-020,8,3
BZA-VSKP-020,9,2
BZA-VSKP-020,10,2
BZA-VSKP-020,11,2
BZA-VSKP-020,12,3
BZA-VSKP-020,13,2
BZA-VSKP-020,14,2
BZA-VSKP-020,15,2
BZA-VSKP-020,16,3
BZA-VSKP-020,17,4
BZA-VSKP-020,18,3
BZA-VSKP-020,19,2
BZA-VSKP-020,20,1
BZA-VSKP-020,21,1
BZA-VSKP-020,22,0
BZA-VSKP-020,23,0
MYS-SBC-012,0,1
MYS-SBC-012,1,1
MYS-SBC-012,2,0
MYS-SBC-012,3,0
MYS-SBC-012,4,1
MYS-SBC-012,5,3
MYS-SBC-012,6,8
MYS-SBC-012,7,10
MYS-SBC-012,8,9
MYS-SBC-012,9,6
MYS-SBC-012,10,6
MYS-SBC-012,11,6
MYS-SBC-012,12,7
MYS-SBC-012,13,6
MYS-SBC-012,14,6
MYS-SBC-012,15,6
MYS-SBC-012,16,8
MYS-SBC-012,17,10
MYS-SBC-012,18,9
MYS-SBC-012,19,7
MYS-SBC-012,20,5
MYS-SBC-012,21,3
MYS-SBC-012,22,2
MYS-SBC-012,23,1
AGC-GWL-025,0,0
AGC-GWL-025,1,0
AGC-GWL-025,2,0
AGC-GWL-025,3,0
AGC-GWL-025,4,0
AGC-GWL-025,5,1
AGC-GWL-025,6,3
AGC-GWL-025,7,4
AGC-GWL-025,8,3
AGC-GWL-025,9,2
AGC-GWL-025,10,2
AGC-GWL-025,11,2
AGC-GWL-025,12,3
AGC-GWL-025,13,2
AGC-GWL-025,14,2
AGC-GWL-025,15,2
AGC-GWL-025,16,3
AGC-GWL-025,17,4
AGC-GWL-025,18,3
AGC-GWL-025,19,2
AGC-GWL-025,20,1
AGC-GWL-025,21,1
AGC-GWL-025,22,0
AGC-GWL-025,23,0
UMB-KLK-030,0,0
UMB-KLK-030,1,0
UMB-KLK-030,2,0
UMB-KLK-030,3,0
UMB-KLK-030,4,0
UMB-KLK-030,5,1
UMB-KLK-030,6,3
UMB-KLK-030,7,4
UMB-KLK-030,8,3
UMB-KLK-030,9,2
UMB-KLK-030,10,2
UMB-KLK-030,11,2
UMB-KLK-030,12,3
UMB-KLK-030,13,2
UMB-KLK-030,14,2
UMB-KLK-030,15,2
UMB-KLK-030,16,3
UMB-KLK-030,17,4
UMB-KLK-030,18,3
UMB-KLK-030,19,2
UMB-KLK-030,20,1
UMB-KLK-030,21,1
UMB-KLK-030,22,0
UMB-KLK-030,23,0
