asset_id,vibration_mm_s,rail_wear_mm,ultrasonic_flaw_score,track_geometry_deviation_mm
AST-428,0.0,0.0,0.0,0.0
AST-431,0.0,0.0,0.0,0.0
AST-432,0.5,0.0,40.0,2.0
AST-434,0.0,0.0,0.0,0.0
AST-436,1.0,0.0,0.0,4.0
AST-440,0.0,0.0,0.0,0.0
AST-444,0.25,0.0,0.0,-1.0
AST-446,0.75,0.0,0.0,3.0
AST-448,0.0,0.0,0.0,0.0
AST-451,0.75,0.0,0.0,3.0
AST-454,0.5,0.0,0.0,2.0
AST-456,0.25,0.0,0.0,1.0
AST-457,1.0,0.0,0.0,4.0
AST-459,0.0,0.0,0.0,0.0
AST-460,0.0,0.0,0.0,0.0
AST-461,0.5,0.0,0.0,2.0
AST-471,0.25,0.0,0.0,1.0
AST-472,0.5,0.0,0.0,-2.0
AST-475,1.25,0.0,0.0,5.0
AST-479,0.25,0.0,20.0,1.0
AST-480,1.25,0.0,0.0,5.0
AST-481,0.25,0.0,0.0,1.0
AST-486,0.25,0.0,0.0,1.0
AST-487,0.25,0.0,0.0,1.0
AST-488,0.25,0.0,0.0,1.0
AST-490,0.25,0.0,40.0,1.0
AST-492,0.5,0.0,0.0,2.0
AST-494,0.75,0.0,0.0,3.0
AST-495,0.0,0.0,0.0,0.0
AST-497,1.0,0.0,0.0,4.0
AST-498,0.75,0.0,0.0,3.0
AST-501,0.0,0.0,0.0,0.0
AST-503,0.25,0.0,0.0,-1.0
AST-508,0.75,0.0,0.0,3.0
AST-510,0.75,0.0,20.0,3.0
AST-512,0.25,0.0,0.0,1.0
AST-513,0.0,0.0,0.0,0.0
AST-515,1.0,0.0,0.0,4.0
AST-516,0.25,0.0,0.0,1.0
AST-525,2.5,0.0,0.0,-10.0
AST-526,0.0,0.0,0.0,0.0
AST-527,0.75,0.0,0.0,3.0
AST-528,0.0,0.0,0.0,0.0
AST-531,1.0,0.0,0.0,4.0
AST-535,0.25,0.0,20.0,1.0
AST-536,0.75,0.0,0.0,3.0
AST-537,1.0,0.0,0.0,4.0
AST-539,0.5,0.0,0.0,2.0
AST-541,0.5,0.0,0.0,2.0
AST-542,0.5,0.0,0.0,2.0
AST-543,0.25,0.0,0.0,1.0
AST-546,0.0,0.0,0.0,0.0
AST-549,1.0,0.0,0.0,4.0
AST-553,1.5,0.0,0.0,6.0
AST-555,0.25,0.0,0.0,1.0
AST-563,0.75,0.0,0.0,3.0
AST-564,1.0,0.0,0.0,4.0
AST-567,0.0,0.0,40.0,0.0
AST-571,0.5,0.0,0.0,2.0
AST-573,0.5,0.0,0.0,2.0
AST-576,0.25,0.0,0.0,1.0
AST-577,1.0,0.0,0.0,4.0
AST-580,1.0,0.0,0.0,4.0
AST-582,0.0,0.0,0.0,0.0
AST-583,0.25,0.0,0.0,-1.0
AST-584,1.25,0.0,0.0,5.0
AST-586,1.0,0.0,0.0,4.0
AST-590,0.5,0.0,0.0,-2.0
AST-593,0.5,0.0,0.0,2.0
AST-595,0.5,0.0,0.0,2.0
AST-599,0.5,0.0,0.0,2.0
AST-600,0.75,0.0,0.0,3.0
AST-607,0.75,0.0,0.0,3.0
AST-611,0.0,0.0,0.0,0.0
AST-614,0.0,0.0,0.0,0.0
AST-615,0.75,0.0,0.0,3.0
AST-616,0.0,0.0,0.0,0.0
AST-617,0.0,0.0,0.0,0.0
AST-620,0.0,0.0,0.0,0.0
AST-621,1.25,0.0,40.0,5.0
AST-623,0.75,0.0,0.0,3.0
AST-624,0.5,0.0,0.0,2.0
AST-626,1.0,0.0,0.0,4.0
AST-627,0.0,0.0,0.0,0.0
AST-629,0.0,0.0,0.0,0.0
AST-631,0.25,0.0,0.0,1.0
AST-639,1.25,0.0,0.0,5.0
AST-640,0.25,0.0,0.0,-1.0
AST-646,0.75,0.0,0.0,3.0
AST-648,0.0,0.0,0.0,0.0
AST-652,0.5,0.0,0.0,2.0
AST-653,0.0,0.0,0.0,0.0
AST-654,0.75,0.0,0.0,3.0
AST-655,0.75,0.0,0.0,3.0
AST-656,0.75,0.0,0.0,3.0
AST-659,1.0,0.0,0.0,4.0
AST-662,2.25,0.0,0.0,-9.0
AST-666,0.0,0.0,0.0,0.0
AST-670,0.75,0.0,0.0,3.0
AST-675,1.0,0.0,0.0,4.0
AST-676,0.0,0.0,0.0,0.0
AST-678,0.5,0.0,0.0,2.0
AST-679,0.25,0.0,40.0,1.0
AST-680,0.75,0.0,0.0,3.0
AST-682,0.25,0.0,0.0,-1.0
AST-687,0.5,0.0,0.0,2.0
AST-689,0.0,0.0,0.0,0.0
AST-690,0.75,0.0,0.0,3.0
AST-691,1.25,0.0,0.0,5.0
AST-694,0.5,0.0,0.0,2.0
AST-697,0.25,0.0,0.0,1.0
AST-700,0.0,0.0,0.0,0.0
AST-702,0.5,0.0,0.0,2.0
AST-707,0.75,0.0,0.0,3.0
AST-708,1.25,0.0,0.0,5.0
AST-709,0.0,0.0,0.0,0.0
AST-711,1.75,0.0,0.0,7.0
AST-712,0.25,0.0,0.0,1.0
AST-716,0.25,0.0,0.0,1.0
AST-718,0.5,0.0,0.0,2.0
AST-719,3.75,0.0,40.0,15.0
AST-720,0.25,0.0,40.0,1.0
AST-723,0.5,0.0,0.0,2.0
AST-725,0.0,0.0,0.0,0.0
AST-726,0.5,0.0,0.0,2.0
AST-727,0.0,0.0,0.0,0.0
AST-728,0.25,0.0,0.0,1.0
AST-731,0.5,0.0,0.0,2.0
AST-732,0.0,0.0,0.0,0.0
AST-734,0.25,0.0,0.0,1.0
AST-735,0.25,0.0,40.0,-1.0
AST-737,1.0,0.0,0.0,4.0
AST-740,0.0,0.0,0.0,0.0
AST-741,0.25,0.0,0.0,-1.0
AST-744,0.25,0.0,0.0,1.0
AST-747,0.0,0.0,0.0,0.0
AST-748,0.5,0.0,0.0,2.0
AST-749,0.25,0.0,0.0,1.0
AST-750,0.25,0.0,0.0,1.0
AST-001,0.0,0.0,0.0,0.0
AST-005,0.0,0.0,0.0,0.0
AST-009,0.0,0.0,40.0,0.0
AST-011,0.0,0.0,0.0,0.0
AST-014,0.0,0.0,40.0,0.0
AST-015,0.0,0.0,0.0,0.0
AST-016,0.0,0.0,0.0,0.0
AST-020,0.0,0.0,0.0,0.0
AST-021,0.0,0.0,0.0,0.0
AST-024,0.0,0.0,0.0,0.0
AST-026,0.0,0.0,20.0,0.0
AST-028,0.0,0.0,0.0,0.0
AST-030,0.0,0.0,20.0,0.0
AST-031,0.0,0.0,0.0,0.0
AST-036,0.0,0.0,0.0,0.0
AST-040,0.0,0.0,0.0,0.0
AST-042,0.0,0.0,0.0,0.0
AST-043,0.0,0.0,40.0,0.0
AST-049,0.0,0.0,0.0,0.0
AST-051,0.0,0.0,0.0,0.0
AST-055,0.0,0.0,0.0,0.0
AST-056,0.0,0.0,0.0,0.0
AST-060,0.0,0.0,0.0,0.0
AST-061,0.0,0.0,20.0,0.0
AST-062,0.0,0.0,40.0,0.0
AST-071,0.0,0.0,0.0,0.0
AST-074,0.0,0.0,0.0,0.0
AST-076,0.0,0.0,0.0,0.0
AST-078,0.0,0.0,0.0,0.0
AST-093,0.0,0.0,0.0,0.0
AST-095,0.0,0.0,0.0,0.0
AST-096,0.0,0.0,0.0,0.0
AST-098,0.0,0.0,0.0,0.0
AST-099,0.0,0.0,0.0,0.0
AST-100,0.0,0.0,0.0,0.0
AST-104,0.0,0.0,30.0,0.0
AST-105,0.0,0.0,0.0,0.0
AST-106,0.0,0.0,0.0,0.0
AST-107,0.0,0.0,0.0,0.0
AST-108,0.0,0.0,0.0,0.0
AST-109,0.0,0.0,0.0,0.0
AST-114,0.0,0.0,40.0,0.0
AST-115,0.0,0.0,0.0,0.0
AST-118,0.0,0.0,0.0,0.0
AST-120,0.0,0.0,0.0,0.0
AST-122,0.0,0.0,0.0,0.0
AST-129,0.0,0.0,0.0,0.0
AST-130,0.0,0.0,0.0,0.0
AST-131,0.0,0.0,0.0,0.0
AST-136,0.0,0.0,0.0,0.0
AST-138,0.0,0.0,0.0,0.0
AST-139,0.0,0.0,0.0,0.0
AST-145,0.0,0.0,0.0,0.0
AST-147,0.0,0.0,0.0,0.0
AST-149,0.0,0.0,0.0,0.0
AST-157,0.0,0.0,40.0,0.0
AST-159,0.0,0.0,0.0,0.0
AST-161,0.0,0.0,0.0,0.0
AST-164,0.0,0.0,0.0,0.0
AST-165,0.0,0.0,0.0,0.0
AST-170,0.0,0.0,0.0,0.0
AST-172,0.0,0.0,0.0,0.0
AST-173,0.0,0.0,0.0,0.0
AST-174,0.0,0.0,0.0,0.0
AST-177,0.0,0.0,0.0,0.0
AST-179,0.0,0.0,0.0,0.0
AST-181,0.0,0.0,0.0,0.0
AST-184,0.0,0.0,20.0,0.0
AST-187,0.0,0.0,0.0,0.0
AST-188,0.0,0.0,0.0,0.0
AST-194,0.0,0.0,20.0,0.0
AST-195,0.0,0.0,0.0,0.0
AST-198,0.0,0.0,0.0,0.0
AST-200,0.0,0.0,20.0,0.0
AST-205,0.0,0.0,0.0,0.0
AST-208,0.0,0.0,0.0,0.0
AST-210,0.0,0.0,0.0,0.0
AST-213,0.0,0.0,20.0,0.0
AST-214,0.0,0.0,0.0,0.0
AST-217,0.0,0.0,20.0,0.0
AST-221,0.0,0.0,20.0,0.0
AST-223,0.0,0.0,0.0,0.0
AST-224,0.0,0.0,20.0,0.0
AST-226,0.0,0.0,0.0,0.0
AST-228,0.0,0.0,0.0,0.0
AST-231,0.0,0.0,0.0,0.0
AST-233,0.0,0.0,0.0,0.0
AST-234,0.0,0.0,0.0,0.0
AST-239,0.0,0.0,40.0,0.0
AST-240,0.0,0.0,0.0,0.0
AST-243,0.0,0.0,0.0,0.0
AST-245,0.0,0.0,0.0,0.0
AST-248,0.0,0.0,0.0,0.0
AST-251,0.0,0.0,0.0,0.0
AST-252,0.0,0.0,0.0,0.0
AST-253,0.0,0.0,0.0,0.0
AST-255,0.0,0.0,0.0,0.0
AST-256,0.0,0.0,60.0,0.0
AST-257,0.0,0.0,0.0,0.0
AST-260,0.0,0.0,0.0,0.0
AST-264,0.0,0.0,20.0,0.0
AST-265,0.0,0.0,0.0,0.0
AST-267,0.0,0.0,0.0,0.0
AST-271,0.0,0.0,60.0,0.0
AST-274,0.0,0.0,0.0,0.0
AST-276,0.0,0.0,0.0,0.0
AST-278,0.0,0.0,0.0,0.0
AST-279,0.0,0.0,0.0,0.0
AST-280,0.0,0.0,0.0,0.0
AST-281,0.0,0.0,0.0,0.0
AST-285,0.0,0.0,0.0,0.0
AST-288,0.0,0.0,0.0,0.0
AST-290,0.0,0.0,0.0,0.0
AST-291,0.0,0.0,0.0,0.0
AST-293,0.0,0.0,0.0,0.0
AST-296,0.0,0.0,40.0,0.0
AST-297,0.0,0.0,0.0,0.0
AST-299,0.0,0.0,0.0,0.0
AST-300,0.0,0.0,20.0,0.0
AST-302,0.0,0.0,0.0,0.0
AST-304,0.0,0.0,0.0,0.0
AST-312,0.0,0.0,0.0,0.0
AST-313,0.0,0.0,0.0,0.0
AST-315,0.0,0.0,0.0,0.0
AST-316,0.0,0.0,0.0,0.0
AST-320,0.0,0.0,0.0,0.0
AST-322,0.0,0.0,0.0,0.0
AST-325,0.0,0.0,0.0,0.0
AST-327,0.0,0.0,0.0,0.0
AST-329,0.0,0.0,0.0,0.0
AST-333,0.0,0.0,0.0,0.0
AST-336,0.0,0.0,0.0,0.0
AST-338,0.0,0.0,0.0,0.0
AST-340,0.0,0.0,0.0,0.0
AST-341,0.0,0.0,0.0,0.0
AST-342,0.0,0.0,0.0,0.0
AST-344,0.0,0.0,0.0,0.0
AST-345,0.0,0.0,0.0,0.0
AST-348,0.0,0.0,0.0,0.0
AST-350,0.0,0.0,0.0,0.0
AST-356,0.0,0.0,0.0,0.0
AST-357,0.0,0.0,0.0,0.0
AST-358,0.0,0.0,40.0,0.0
AST-359,0.0,0.0,0.0,0.0
AST-361,0.0,0.0,0.0,0.0
AST-362,0.0,0.0,0.0,0.0
AST-364,0.0,0.0,0.0,0.0
AST-365,0.0,0.0,0.0,0.0
AST-370,0.0,0.0,30.0,0.0
AST-373,0.0,0.0,0.0,0.0
AST-374,0.0,0.0,0.0,0.0
AST-378,0.0,0.0,0.0,0.0
AST-380,0.0,0.0,0.0,0.0
AST-381,0.0,0.0,0.0,0.0
AST-387,0.0,0.0,0.0,0.0
AST-390,0.0,0.0,0.0,0.0
AST-392,0.0,0.0,0.0,0.0
AST-393,0.0,0.0,0.0,0.0
AST-398,0.0,0.0,0.0,0.0
AST-400,0.0,0.0,0.0,0.0
AST-401,0.0,0.0,40.0,0.0
AST-403,0.0,0.0,0.0,0.0
AST-404,0.0,0.0,0.0,0.0
AST-409,0.0,0.0,0.0,0.0
AST-410,0.0,0.0,0.0,0.0
AST-414,0.0,0.0,0.0,0.0
AST-417,0.0,0.0,0.0,0.0
AST-418,0.0,0.0,0.0,0.0
AST-421,0.0,0.0,0.0,0.0
AST-424,0.0,0.0,0.0,0.0
AST-427,0.0,0.0,0.0,0.0
AST-429,0.0,0.0,20.0,0.0
AST-430,0.0,0.0,0.0,0.0
AST-433,0.0,0.0,0.0,0.0
AST-435,0.0,0.0,0.0,0.0
AST-437,0.0,0.0,20.0,0.0
AST-439,0.0,0.0,0.0,0.0
AST-441,0.0,0.0,20.0,0.0
AST-445,0.0,0.0,0.0,0.0
AST-447,0.0,0.0,40.0,0.0
AST-450,0.0,0.0,20.0,0.0
AST-452,0.0,0.0,0.0,0.0
AST-453,0.0,0.0,0.0,0.0
AST-455,0.0,0.0,0.0,0.0
AST-462,0.0,0.0,0.0,0.0
AST-464,0.0,0.0,0.0,0.0
AST-466,0.0,0.0,0.0,0.0
AST-467,0.0,0.0,0.0,0.0
AST-474,0.0,0.0,0.0,0.0
AST-478,0.0,0.0,0.0,0.0
AST-483,0.0,0.0,40.0,0.0
AST-485,0.0,0.0,0.0,0.0
AST-489,0.0,0.0,30.0,0.0
AST-496,0.0,0.0,0.0,0.0
AST-500,0.0,0.0,0.0,0.0
AST-502,0.0,0.0,0.0,0.0
AST-504,0.0,0.0,0.0,0.0
AST-506,0.0,0.0,0.0,0.0
AST-507,0.0,0.0,0.0,0.0
AST-509,0.0,0.0,0.0,0.0
AST-511,0.0,0.0,0.0,0.0
AST-514,0.0,0.0,0.0,0.0
AST-517,0.0,0.0,0.0,0.0
AST-520,0.0,0.0,40.0,0.0
AST-524,0.0,0.0,20.0,0.0
AST-529,0.0,0.0,0.0,0.0
AST-533,0.0,0.0,0.0,0.0
AST-534,0.0,0.0,0.0,0.0
AST-538,0.0,0.0,0.0,0.0
AST-544,0.0,0.0,0.0,0.0
AST-545,0.0,0.0,20.0,0.0
AST-556,0.0,0.0,0.0,0.0
AST-557,0.0,0.0,0.0,0.0
AST-558,0.0,0.0,0.0,0.0
AST-559,0.0,0.0,0.0,0.0
AST-560,0.0,0.0,30.0,0.0
AST-561,0.0,0.0,0.0,0.0
AST-569,0.0,0.0,0.0,0.0
AST-572,0.0,0.0,0.0,0.0
AST-574,0.0,0.0,0.0,0.0
AST-575,0.0,0.0,0.0,0.0
AST-578,0.0,0.0,0.0,0.0
AST-579,0.0,0.0,0.0,0.0
AST-581,0.0,0.0,0.0,0.0
AST-585,0.0,0.0,0.0,0.0
AST-589,0.0,0.0,0.0,0.0
AST-591,0.0,0.0,0.0,0.0
AST-596,0.0,0.0,0.0,0.0
AST-598,0.0,0.0,0.0,0.0
AST-604,0.0,0.0,0.0,0.0
AST-606,0.0,0.0,0.0,0.0
AST-608,0.0,0.0,0.0,0.0
AST-609,0.0,0.0,20.0,0.0
AST-610,0.0,0.0,0.0,0.0
AST-619,0.0,0.0,0.0,0.0
AST-628,0.0,0.0,0.0,0.0
AST-633,0.0,0.0,0.0,0.0
AST-635,0.0,0.0,0.0,0.0
AST-637,0.0,0.0,0.0,0.0
AST-641,0.0,0.0,0.0,0.0
AST-642,0.0,0.0,0.0,0.0
AST-644,0.0,0.0,0.0,0.0
AST-647,0.0,0.0,40.0,0.0
AST-657,0.0,0.0,0.0,0.0
AST-663,0.0,0.0,0.0,0.0
AST-668,0.0,0.0,0.0,0.0
AST-669,0.0,0.0,40.0,0.0
AST-671,0.0,0.0,0.0,0.0
AST-672,0.0,0.0,0.0,0.0
AST-673,0.0,0.0,0.0,0.0
AST-677,0.0,0.0,0.0,0.0
AST-683,0.0,0.0,0.0,0.0
AST-686,0.0,0.0,0.0,0.0
AST-692,0.0,0.0,0.0,0.0
AST-693,0.0,0.0,0.0,0.0
AST-699,0.0,0.0,0.0,0.0
AST-704,0.0,0.0,0.0,0.0
AST-706,0.0,0.0,0.0,0.0
AST-713,0.0,0.0,0.0,0.0
AST-715,0.0,0.0,0.0,0.0
AST-722,0.0,0.0,40.0,0.0
AST-738,0.0,0.0,40.0,0.0
AST-739,0.0,0.0,0.0,0.0
AST-742,0.0,0.0,0.0,0.0
AST-743,0.0,0.0,0.0,0.0
AST-746,0.0,0.0,0.0,0.0
AST-006,1.47,1.43,0.0,0.0
AST-017,0.42,2.88,0.0,0.0
AST-025,0.43,1.82,0.0,0.0
AST-029,1.03,2.09,0.0,0.0
AST-033,1.66,1.93,0.0,0.0
AST-034,0.72,2.12,0.0,0.0
AST-035,0.29,1.19,0.0,0.0
AST-041,0.78,3.07,0.0,0.0
AST-045,0.86,1.84,40.0,0.0
AST-050,1.56,2.3,0.0,0.0
AST-052,0.66,2.23,0.0,0.0
AST-053,0.51,2.09,0.0,0.0
AST-058,0.22,1.68,0.0,0.0
AST-063,0.55,2.35,0.0,0.0
AST-064,0.57,2.09,0.0,0.0
AST-067,0.98,2.02,0.0,0.0
AST-068,0.7,1.77,0.0,0.0
AST-073,0.11,1.87,0.0,0.0
AST-075,1.1,1.82,0.0,0.0
AST-079,0.62,2.39,0.0,0.0
AST-080,1.27,2.54,0.0,0.0
AST-082,0.51,1.26,0.0,0.0
AST-092,0.14,1.53,0.0,0.0
AST-110,0.98,2.18,0.0,0.0
AST-113,0.7,6.11,20.0,0.0
AST-117,0.22,2.27,0.0,0.0
AST-121,0.42,1.82,0.0,0.0
AST-123,0.75,1.78,0.0,0.0
AST-127,0.62,1.16,0.0,0.0
AST-132,0.43,1.7,0.0,0.0
AST-135,1.16,1.76,0.0,0.0
AST-137,0.52,2.09,0.0,0.0
AST-140,0.72,1.78,0.0,0.0
AST-150,0.4,1.48,0.0,0.0
AST-156,0.96,1.59,0.0,0.0
AST-158,0.08,1.92,0.0,0.0
AST-163,1.16,1.15,0.0,0.0
AST-168,0.98,1.85,0.0,0.0
AST-169,0.82,1.94,0.0,0.0
AST-171,0.27,1.26,0.0,0.0
AST-176,0.9,1.6,0.0,0.0
AST-183,0.22,2.83,0.0,0.0
AST-185,1.18,1.88,0.0,0.0
AST-190,1.02,2.76,0.0,0.0
AST-193,0.6,1.13,0.0,0.0
AST-197,0.11,1.69,0.0,0.0
AST-202,0.12,1.42,0.0,0.0
AST-204,1.03,1.76,0.0,0.0
AST-207,1.14,2.95,0.0,0.0
AST-212,1.86,0.28,20.0,0.0
AST-219,0.27,1.17,0.0,0.0
AST-220,0.75,1.65,0.0,0.0
AST-222,0.92,1.96,0.0,0.0
AST-227,0.43,2.53,20.0,0.0
AST-229,0.68,1.49,0.0,0.0
AST-232,1.18,0.93,0.0,0.0
AST-238,0.69,2.1,0.0,0.0
AST-242,1.52,2.51,0.0,0.0
AST-247,0.38,2.03,0.0,0.0
AST-249,1.36,2.54,0.0,0.0
AST-254,1.26,2.35,0.0,0.0
AST-259,0.34,1.69,0.0,0.0
AST-266,0.04,1.47,0.0,0.0
AST-269,0.34,2.18,20.0,0.0
AST-272,0.74,0.89,0.0,0.0
AST-273,1.35,2.36,0.0,0.0
AST-275,0.64,1.73,0.0,0.0
AST-283,1.08,1.55,0.0,0.0
AST-287,1.14,1.85,0.0,0.0
AST-294,0.6,1.52,0.0,0.0
AST-303,0.72,0.79,20.0,0.0
AST-305,0.48,2.18,0.0,0.0
AST-306,1.26,2.14,0.0,0.0
AST-311,1.34,1.41,0.0,0.0
AST-319,2.08,3.16,0.0,0.0
AST-321,0.54,1.55,0.0,0.0
AST-324,0.69,1.91,0.0,0.0
AST-326,0.66,2.04,0.0,0.0
AST-328,0.66,2.2,0.0,0.0
AST-332,1.17,2.27,0.0,0.0
AST-352,0.15,6.78,40.0,0.0
AST-363,1.56,1.16,0.0,0.0
AST-366,0.15,2.11,0.0,0.0
AST-375,1.34,1.69,0.0,0.0
AST-377,0.68,1.21,0.0,0.0
AST-383,0.32,1.77,0.0,0.0
AST-385,0.76,2.44,0.0,0.0
AST-386,0.74,1.17,20.0,0.0
AST-395,4.86,1.87,20.0,0.0
AST-407,1.22,1.21,0.0,0.0
AST-412,1.22,2.05,0.0,0.0
AST-416,0.93,2.52,0.0,0.0
AST-419,0.21,1.73,0.0,0.0
AST-422,1.65,1.49,0.0,0.0
AST-425,1.11,1.57,0.0,0.0
