task_id,asset_id,defect_id,department_id,section_id,task_type,planned_start,planned_end,due_date,required_block_type,estimated_duration_minutes,status
TASK-00053,AST-047,DEF-00047,DEP-001,SEC-005,EMERGENCY,2024-01-04T05:00:00,2024-01-04T09:00:00,2024-01-05T00:00:00,TRAFFIC_BLOCK,240,COMPLETED
TASK-00054,AST-047,DEF-00048,DEP-001,SEC-005,EMERGENCY,2024-09-30T10:00:00,2024-09-30T14:00:00,2024-10-01T00:00:00,TRAFFIC_BLOCK,240,COMPLETED
TASK-00055,AST-047,DEF-00049,DEP-001,SEC-005,CORRECTIVE,2025-09-28T00:00:00,2025-09-28T02:00:00,2025-10-05T00:00:00,SHADOW,120,COMPLETED
TASK-00064,AST-057,DEF-00057,DEP-001,SEC-001,CORRECTIVE,2026-07-02T00:00:00,2026-07-02T02:00:00,2026-07-09T00:00:00,SHADOW,120,COMPLETED
TASK-00065,AST-059,DEF-00058,DEP-001,SEC-005,CORRECTIVE,2026-07-10T00:00:00,2026-07-10T02:00:00,2026-07-14T00:00:00,SHADOW,120,COMPLETED
TASK-00076,AST-066,DEF-00068,DEP-001,SEC-005,EMERGENCY,2024-04-19T04:00:00,2024-04-19T08:00:00,2024-04-20T00:00:00,TRAFFIC_BLOCK,240,COMPLETED
TASK-00077,AST-070,DEF-00069,DEP-001,SEC-006,CORRECTIVE,2025-05-02T00:00:00,2025-05-02T02:00:00,2025-05-10T00:00:00,SHADOW,120,COMPLETED
TASK-00078,AST-070,DEF-00070,DEP-001,SEC-006,EMERGENCY,2026-07-24T05:00:00,2026-07-24T09:00:00,2026-07-25T00:00:00,TRAFFIC_BLOCK,240,COMPLETED
TASK-00084,AST-077,DEF-00076,DEP-001,SEC-003,CORRECTIVE,2024-04-11T00:00:00,2024-04-11T02:00:00,2024-04-16T00:00:00,SHADOW,120,COMPLETED
TASK-00086,AST-077,DEF-00077,DEP-001,SEC-003,CORRECTIVE,2026-01-08T00:00:00,2026-01-08T02:00:00,2026-01-15T00:00:00,SHADOW,120,COMPLETED
TASK-00085,AST-077,DEF-00077,DEP-001,SEC-003,CORRECTIVE,2026-01-03T00:00:00,2026-01-03T02:00:00,2026-01-06T00:00:00,SHADOW,120,DEFERRED
TASK-00088,AST-077,DEF-00078,DEP-001,SEC-003,CORRECTIVE,2026-04-09T00:00:00,2026-04-09T02:00:00,2026-04-16T00:00:00,SHADOW,120,COMPLETED
TASK-00087,AST-077,DEF-00078,DEP-001,SEC-003,CORRECTIVE,2026-03-31T00:00:00,2026-03-31T02:00:00,2026-04-06T00:00:00,SHADOW,120,DEFERRED
TASK-00090,AST-081,DEF-00080,DEP-001,SEC-004,CORRECTIVE,2024-08-30T00:00:00,2024-08-30T01:00:00,2024-09-11T00:00:00,NONE,60,COMPLETED
TASK-00092,AST-084,DEF-00081,DEP-001,SEC-002,EMERGENCY,2024-12-20T05:00:00,2024-12-20T09:00:00,2024-12-27T05:00:00,TRAFFIC_BLOCK,240,COMPLETED
TASK-00091,AST-084,DEF-00081,DEP-001,SEC-002,EMERGENCY,2024-12-16T05:00:00,2024-12-16T09:00:00,2024-12-17T00:00:00,TRAFFIC_BLOCK,240,DEFERRED
TASK-00093,AST-084,DEF-00082,DEP-001,SEC-002,CORRECTIVE,2025-03-27T00:00:00,2025-03-27T01:00:00,2025-04-15T00:00:00,NONE,60,COMPLETED
TASK-00094,AST-087,DEF-00083,DEP-001,SEC-001,CORRECTIVE,2023-11-04T00:00:00,2023-11-04T02:00:00,2023-11-12T00:00:00,SHADOW,120,COMPLETED
TASK-00095,AST-087,DEF-00084,DEP-001,SEC-001,EMERGENCY,2026-04-20T09:00:00,2026-04-20T13:00:00,2026-04-21T00:00:00,TRAFFIC_BLOCK,240,COMPLETED
TASK-00096,AST-089,DEF-00085,DEP-001,SEC-004,CORRECTIVE,2023-10-18T00:00:00,2023-10-18T02:00:00,2023-10-22T00:00:00,SHADOW,120,COMPLETED
TASK-00097,AST-090,DEF-00086,DEP-001,SEC-003,CORRECTIVE,2024-09-15T00:00:00,2024-09-15T01:00:00,2024-10-05T00:00:00,NONE,60,COMPLETED
TASK-00099,AST-091,DEF-00087,DEP-001,SEC-003,EMERGENCY,2024-06-17T11:00:00,2024-06-17T15:00:00,2024-06-24T11:00:00,TRAFFIC_BLOCK,240,COMPLETED
TASK-00098,AST-091,DEF-00087,DEP-001,SEC-003,EMERGENCY,2024-06-12T11:00:00,2024-06-12T15:00:00,2024-06-13T00:00:00,TRAFFIC_BLOCK,240,DEFERRED
TASK-00118,AST-102,DEF-00100,DEP-001,SEC-004,EMERGENCY,2025-09-16T03:00:00,2025-09-16T07:00:00,2025-09-23T03:00:00,TRAFFIC_BLOCK,240,COMPLETED
TASK-00117,AST-102,DEF-00100,DEP-001,SEC-004,EMERGENCY,2025-09-13T03:00:00,2025-09-13T07:00:00,2025-09-14T00:00:00,TRAFFIC_BLOCK,240,DEFERRED
TASK-00119,AST-103,DEF-00101,DEP-001,SEC-006,EMERGENCY,2026-06-16T05:00:00,2026-06-16T09:00:00,2026-06-17T00:00:00,TRAFFIC_BLOCK,240,COMPLETED
TASK-00148,AST-124,DEF-00125,DEP-001,SEC-003,CORRECTIVE,2025-06-30T00:00:00,2025-06-30T02:00:00,2025-07-07T00:00:00,SHADOW,120,COMPLETED
TASK-00149,AST-125,DEF-00126,DEP-001,SEC-003,EMERGENCY,2024-03-19T12:00:00,2024-03-19T16:00:00,2024-03-20T00:00:00,TRAFFIC_BLOCK,240,COMPLETED
TASK-00165,AST-142,DEF-00139,DEP-001,SEC-005,CORRECTIVE,2026-07-27T00:00:00,2026-07-27T01:00:00,2026-08-05T00:00:00,NONE,60,COMPLETED
TASK-00166,AST-144,DEF-00140,DEP-001,SEC-003,EMERGENCY,2026-07-26T05:00:00,2026-07-26T09:00:00,2026-07-27T00:00:00,TRAFFIC_BLOCK,240,COMPLETED
TASK-00171,AST-148,DEF-00143,DEP-001,SEC-006,CORRECTIVE,2024-12-03T00:00:00,2024-12-03T02:00:00,2024-12-10T00:00:00,SHADOW,120,COMPLETED
TASK-00170,AST-148,DEF-00143,DEP-001,SEC-006,CORRECTIVE,2024-12-01T00:00:00,2024-12-01T02:00:00,2024-12-04T00:00:00,SHADOW,120,DEFERRED
TASK-00172,AST-148,DEF-00144,DEP-001,SEC-006,CORRECTIVE,2025-11-25T00:00:00,2025-11-25T02:00:00,2025-11-29T00:00:00,SHADOW,120,COMPLETED
TASK-00177,AST-151,DEF-00148,DEP-001,SEC-002,CORRECTIVE,2024-02-21T00:00:00,2024-02-21T02:00:00,2024-02-26T00:00:00,SHADOW,120,COMPLETED
TASK-00178,AST-154,DEF-00149,DEP-001,SEC-003,EMERGENCY,2026-03-21T04:00:00,2026-03-21T08:00:00,2026-03-22T00:00:00,TRAFFIC_BLOCK,240,COMPLETED
TASK-00184,AST-160,DEF-00155,DEP-001,SEC-001,CORRECTIVE,2026-03-16T00:00:00,2026-03-16T02:00:00,2026-03-24T00:00:00,SHADOW,120,COMPLETED
TASK-00185,AST-166,DEF-00156,DEP-001,SEC-004,EMERGENCY,2025-07-08T02:00:00,2025-07-08T06:00:00,2025-07-09T00:00:00,TRAFFIC_BLOCK,240,COMPLETED
TASK-00186,AST-166,DEF-00157,DEP-001,SEC-004,CORRECTIVE,2026-04-09T00:00:00,2026-04-09T02:00:00,2026-04-14T00:00:00,SHADOW,120,COMPLETED
TASK-00187,AST-167,DEF-00158,DEP-001,SEC-003,CORRECTIVE,2025-02-21T00:00:00,2025-02-21T01:00:00,2025-03-06T00:00:00,NONE,60,COMPLETED
TASK-00188,AST-167,DEF-00159,DEP-001,SEC-003,CORRECTIVE,2026-02-02T00:00:00,2026-02-02T02:00:00,2026-02-09T00:00:00,SHADOW,120,COMPLETED
TASK-00189,AST-167,DEF-00160,DEP-001,SEC-003,CORRECTIVE,2026-05-03T00:00:00,2026-05-03T02:00:00,2026-05-10T00:00:00,SHADOW,120,COMPLETED
TASK-00214,AST-189,DEF-00181,DEP-001,SEC-004,EMERGENCY,2025-12-30T08:00:00,2025-12-30T12:00:00,2026-01-06T08:00:00,TRAFFIC_BLOCK,240,COMPLETED
TASK-00213,AST-189,DEF-00181,DEP-001,SEC-004,EMERGENCY,2025-12-27T08:00:00,2025-12-27T12:00:00,2025-12-28T00:00:00,TRAFFIC_BLOCK,240,DEFERRED
TASK-00215,AST-192,DEF-00182,DEP-001,SEC-005,CORRECTIVE,2024-11-12T00:00:00,2024-11-12T02:00:00,2024-11-16T00:00:00,SHADOW,120,COMPLETED
TASK-00237,AST-201,DEF-00197,DEP-001,SEC-001,CORRECTIVE,2024-05-27T00:00:00,2024-05-27T02:00:00,2024-05-31T00:00:00,SHADOW,120,COMPLETED
TASK-00239,AST-203,DEF-00199,DEP-001,SEC-006,CORRECTIVE,2025-07-31T00:00:00,2025-07-31T02:00:00,2025-08-04T00:00:00,SHADOW,120,COMPLETED
TASK-00241,AST-206,DEF-00201,DEP-001,SEC-002,CORRECTIVE,2024-09-30T00:00:00,2024-09-30T02:00:00,2024-10-03T00:00:00,SHADOW,120,COMPLETED
TASK-00242,AST-206,DEF-00202,DEP-001,SEC-002,CORRECTIVE,2025-12-31T00:00:00,2025-12-31T01:00:00,2026-01-16T00:00:00,NONE,60,COMPLETED
TASK-00261,AST-218,DEF-00218,DEP-001,SEC-003,CORRECTIVE,2025-12-06T00:00:00,2025-12-06T01:00:00,2025-12-11T00:00:00,NONE,60,COMPLETED
TASK-00284,AST-230,DEF-00237,DEP-001,SEC-001,CORRECTIVE,2026-01-02T00:00:00,2026-01-02T02:00:00,2026-01-08T00:00:00,SHADOW,120,COMPLETED
TASK-00296,AST-235,DEF-00248,DEP-001,SEC-001,EMERGENCY,2025-11-12T04:00:00,2025-11-12T08:00:00,2025-11-13T00:00:00,TRAFFIC_BLOCK,240,COMPLETED
TASK-00297,AST-236,DEF-00249,DEP-001,SEC-005,CORRECTIVE,2024-03-17T00:00:00,2024-03-17T02:00:00,2024-03-20T00:00:00,SHADOW,120,COMPLETED
TASK-00298,AST-236,DEF-00250,DEP-001,SEC-005,CORRECTIVE,2025-09-03T00:00:00,2025-09-03T02:00:00,2025-09-11T00:00:00,SHADOW,120,COMPLETED
TASK-00299,AST-237,DEF-00251,DEP-001,SEC-005,CORRECTIVE,2025-01-04T00:00:00,2025-01-04T02:00:00,2025-01-12T00:00:00,SHADOW,120,COMPLETED
TASK-00304,AST-244,DEF-00255,DEP-001,SEC-005,EMERGENCY,2024-10-01T10:00:00,2024-10-01T14:00:00,2024-10-02T00:00:00,TRAFFIC_BLOCK,240,COMPLETED
TASK-00308,AST-246,DEF-00259,DEP-001,SEC-005,CORRECTIVE,2026-01-28T00:00:00,2026-01-28T02:00:00,2026-02-04T00:00:00,SHADOW,120,COMPLETED
TASK-00337,AST-261,DEF-00285,DEP-001,SEC-003,CORRECTIVE,2025-08-14T00:00:00,2025-08-14T01:00:00,2025-08-25T00:00:00,NONE,60,COMPLETED
TASK-00339,AST-263,DEF-00286,DEP-001,SEC-001,CORRECTIVE,2025-01-14T00:00:00,2025-01-14T02:00:00,2025-01-21T00:00:00,SHADOW,120,COMPLETED
TASK-00338,AST-263,DEF-00286,DEP-001,SEC-001,CORRECTIVE,2025-01-11T00:00:00,2025-01-11T02:00:00,2025-01-15T00:00:00,SHADOW,120,DEFERRED
TASK-00344,AST-268,DEF-00290,DEP-001,SEC-002,EMERGENCY,2024-04-12T03:00:00,2024-04-12T07:00:00,2024-04-13T00:00:00,TRAFFIC_BLOCK,240,COMPLETED
TASK-00346,AST-270,DEF-00292,DEP-001,SEC-005,EMERGENCY,2025-12-20T02:00:00,2025-12-20T06:00:00,2025-12-21T00:00:00,TRAFFIC_BLOCK,240,COMPLETED
TASK-00360,AST-277,DEF-00302,DEP-001,SEC-001,CORRECTIVE,2025-11-01T00:00:00,2025-11-01T02:00:00,2025-11-05T00:00:00,SHADOW,120,COMPLETED
TASK-00361,AST-277,DEF-00303,DEP-001,SEC-001,CORRECTIVE,2026-05-15T00:00:00,2026-05-15T01:00:00,2026-05-24T00:00:00,NONE,60,COMPLETED
TASK-00370,AST-282,DEF-00312,DEP-001,SEC-001,EMERGENCY,2025-02-01T11:00:00,2025-02-01T15:00:00,2025-02-02T00:00:00,TRAFFIC_BLOCK,240,COMPLETED
TASK-00371,AST-284,DEF-00313,DEP-001,SEC-002,CORRECTIVE,2025-02-16T00:00:00,2025-02-16T02:00:00,2025-02-19T00:00:00,SHADOW,120,COMPLETED
TASK-00375,AST-286,DEF-00316,DEP-001,SEC-004,CORRECTIVE,2025-05-24T00:00:00,2025-05-24T01:00:00,2025-05-30T00:00:00,NONE,60,COMPLETED
TASK-00380,AST-289,DEF-00319,DEP-001,SEC-006,EMERGENCY,2024-05-29T08:00:00,2024-05-29T12:00:00,2024-06-05T08:00:00,TRAFFIC_BLOCK,240,COMPLETED
TASK-00379,AST-289,DEF-00319,DEP-001,SEC-006,EMERGENCY,2024-05-25T08:00:00,2024-05-25T12:00:00,2024-05-26T00:00:00,TRAFFIC_BLOCK,240,DEFERRED
TASK-00389,AST-292,DEF-00325,DEP-001,SEC-001,CORRECTIVE,2024-09-15T00:00:00,2024-09-15T01:00:00,2024-09-26T00:00:00,NONE,60,COMPLETED
TASK-00393,AST-295,DEF-00329,DEP-001,SEC-006,CORRECTIVE,2024-03-18T00:00:00,2024-03-18T02:00:00,2024-03-23T00:00:00,SHADOW,120,COMPLETED
TASK-00394,AST-295,DEF-00330,DEP-001,SEC-006,CORRECTIVE,2025-12-07T00:00:00,2025-12-07T02:00:00,2025-12-13T00:00:00,SHADOW,120,COMPLETED
TASK-00397,AST-298,DEF-00333,DEP-001,SEC-002,EMERGENCY,2025-08-09T01:00:00,2025-08-09T05:00:00,2025-08-10T00:00:00,TRAFFIC_BLOCK,240,COMPLETED
TASK-00402,AST-301,DEF-00338,DEP-001,SEC-001,EMERGENCY,2024-11-19T06:00:00,2024-11-19T10:00:00,2024-11-20T00:00:00,TRAFFIC_BLOCK,240,COMPLETED
TASK-00412,AST-307,DEF-00347,DEP-001,SEC-004,CORRECTIVE,2023-12-13T00:00:00,2023-12-13T02:00:00,2023-12-18T00:00:00,SHADOW,120,COMPLETED
TASK-00413,AST-307,DEF-00348,DEP-001,SEC-004,EMERGENCY,2024-06-05T11:00:00,2024-06-05T15:00:00,2024-06-06T00:00:00,TRAFFIC_BLOCK,240,COMPLETED
TASK-00415,AST-310,DEF-00349,DEP-001,SEC-003,CORRECTIVE,2025-01-08T00:00:00,2025-01-08T02:00:00,2025-01-15T00:00:00,SHADOW,120,COMPLETED
TASK-00414,AST-310,DEF-00349,DEP-001,SEC-003,CORRECTIVE,2025-01-06T00:00:00,2025-01-06T02:00:00,2025-01-12T00:00:00,SHADOW,120,DEFERRED
TASK-00416,AST-310,DEF-00350,DEP-001,SEC-003,CORRECTIVE,2026-01-16T00:00:00,2026-01-16T01:00:00,2026-01-27T00:00:00,NONE,60,COMPLETED
TASK-00425,AST-318,DEF-00357,DEP-001,SEC-001,CORRECTIVE,2023-12-12T00:00:00,2023-12-12T02:00:00,2023-12-17T00:00:00,SHADOW,120,COMPLETED
TASK-00439,AST-330,DEF-00369,DEP-001,SEC-003,EMERGENCY,2024-04-18T11:00:00,2024-04-18T15:00:00,2024-04-25T11:00:00,TRAFFIC_BLOCK,240,COMPLETED
TASK-00438,AST-330,DEF-00369,DEP-001,SEC-003,EMERGENCY,2024-04-15T11:00:00,2024-04-15T15:00:00,2024-04-16T00:00:00,TRAFFIC_BLOCK,240,DEFERRED
TASK-00441,AST-331,DEF-00370,DEP-001,SEC-001,CORRECTIVE,2024-02-12T00:00:00,2024-02-12T02:00:00,2024-02-19T00:00:00,SHADOW,120,COMPLETED
TASK-00440,AST-331,DEF-00370,DEP-001,SEC-001,CORRECTIVE,2024-02-10T00:00:00,2024-02-10T02:00:00,2024-02-16T00:00:00,SHADOW,120,DEFERRED
TASK-00447,AST-334,DEF-00375,DEP-001,SEC-001,CORRECTIVE,2024-06-29T00:00:00,2024-06-29T01:00:00,2024-07-06T00:00:00,NONE,60,COMPLETED
TASK-00446,AST-334,DEF-00375,DEP-001,SEC-001,CORRECTIVE,2024-06-23T00:00:00,2024-06-23T01:00:00,2024-07-05T00:00:00,NONE,60,DEFERRED
TASK-00449,AST-334,DEF-00376,DEP-001,SEC-001,CORRECTIVE,2025-09-05T00:00:00,2025-09-05T02:00:00,2025-09-12T00:00:00,SHADOW,120,COMPLETED
TASK-00448,AST-334,DEF-00376,DEP-001,SEC-001,CORRECTIVE,2025-08-31T00:00:00,2025-08-31T02:00:00,2025-09-08T00:00:00,SHADOW,120,DEFERRED
TASK-00450,AST-335,DEF-00377,DEP-001,SEC-002,EMERGENCY,2025-04-03T07:00:00,2025-04-03T11:00:00,2025-04-04T00:00:00,TRAFFIC_BLOCK,240,COMPLETED
TASK-00454,AST-339,DEF-00380,DEP-001,SEC-001,CORRECTIVE,2026-03-16T00:00:00,2026-03-16T02:00:00,2026-03-23T00:00:00,SHADOW,120,COMPLETED
TASK-00453,AST-339,DEF-00380,DEP-001,SEC-001,CORRECTIVE,2026-03-08T00:00:00,2026-03-08T02:00:00,2026-03-16T00:00:00,SHADOW,120,DEFERRED
TASK-00469,AST-347,DEF-00392,DEP-001,SEC-003,CORRECTIVE,2024-06-27T00:00:00,2024-06-27T01:00:00,2024-07-04T00:00:00,NONE,60,COMPLETED
TASK-00475,AST-349,DEF-00397,DEP-001,SEC-006,EMERGENCY,2024-06-05T11:00:00,2024-06-05T15:00:00,2024-06-06T00:00:00,TRAFFIC_BLOCK,240,COMPLETED
TASK-00476,AST-349,DEF-00398,DEP-001,SEC-006,EMERGENCY,2025-03-02T12:00:00,2025-03-02T16:00:00,2025-03-03T00:00:00,TRAFFIC_BLOCK,240,COMPLETED
TASK-00477,AST-349,DEF-00399,DEP-001,SEC-006,CORRECTIVE,2025-06-02T00:00:00,2025-06-02T02:00:00,2025-06-10T00:00:00,SHADOW,120,COMPLETED
TASK-00480,AST-354,DEF-00401,DEP-001,SEC-001,CORRECTIVE,2023-08-26T00:00:00,2023-08-26T01:00:00,2023-09-11T00:00:00,NONE,60,COMPLETED
TASK-00481,AST-354,DEF-00402,DEP-001,SEC-001,CORRECTIVE,2025-11-21T00:00:00,2025-11-21T01:00:00,2025-11-29T00:00:00,NONE,60,COMPLETED
TASK-00490,AST-360,DEF-00410,DEP-001,SEC-005,EMERGENCY,2024-10-05T11:00:00,2024-10-05T15:00:00,2024-10-06T00:00:00,TRAFFIC_BLOCK,240,CANCELLED
TASK-00491,AST-360,DEF-00411,DEP-001,SEC-005,EMERGENCY,2025-01-03T08:00:00,2025-01-03T12:00:00,2025-01-04T00:00:00,TRAFFIC_BLOCK,240,COMPLETED
TASK-00505,AST-367,DEF-00423,DEP-001,SEC-006,CORRECTIVE,2026-04-25T00:00:00,2026-04-25T01:00:00,2026-05-09T00:00:00,NONE,60,COMPLETED
TASK-00512,AST-372,DEF-00429,DEP-001,SEC-002,EMERGENCY,2025-01-11T10:00:00,2025-01-11T14:00:00,2025-01-12T00:00:00,TRAFFIC_BLOCK,240,COMPLETED
TASK-00513,AST-372,DEF-00430,DEP-001,SEC-002,CORRECTIVE,2026-04-28T00:00:00,2026-04-28T01:00:00,2026-05-06T00:00:00,NONE,60,COMPLETED
TASK-00521,AST-376,DEF-00436,DEP-001,SEC-005,CORRECTIVE,2023-11-06T00:00:00,2023-11-06T01:00:00,2023-11-13T00:00:00,NONE,60,COMPLETED
TASK-00532,AST-389,DEF-00446,DEP-001,SEC-006,CORRECTIVE,2024-11-01T00:00:00,2024-11-01T02:00:00,2024-11-08T00:00:00,SHADOW,120,COMPLETED
TASK-00534,AST-391,DEF-00448,DEP-001,SEC-004,EMERGENCY,2026-01-27T06:00:00,2026-01-27T10:00:00,2026-01-28T00:00:00,TRAFFIC_BLOCK,240,COMPLETED
TASK-00541,AST-396,DEF-00455,DEP-001,SEC-001,EMERGENCY,2025-01-19T07:00:00,2025-01-19T11:00:00,2025-01-20T00:00:00,TRAFFIC_BLOCK,240,COMPLETED
TASK-00543,AST-396,DEF-00456,DEP-001,SEC-001,CORRECTIVE,2025-10-24T00:00:00,2025-10-24T02:00:00,2025-10-31T00:00:00,SHADOW,120,COMPLETED
TASK-00542,AST-396,DEF-00456,DEP-001,SEC-001,CORRECTIVE,2025-10-19T00:00:00,2025-10-19T02:00:00,2025-10-26T00:00:00,SHADOW,120,DEFERRED
TASK-00544,AST-397,DEF-00457,DEP-001,SEC-003,CORRECTIVE,2024-05-18T00:00:00,2024-05-18T02:00:00,2024-05-24T00:00:00,SHADOW,120,COMPLETED
TASK-00545,AST-397,DEF-00458,DEP-001,SEC-003,EMERGENCY,2024-08-12T04:00:00,2024-08-12T08:00:00,2024-08-13T00:00:00,TRAFFIC_BLOCK,240,COMPLETED
TASK-00546,AST-397,DEF-00459,DEP-001,SEC-003,EMERGENCY,2025-02-08T07:00:00,2025-02-08T11:00:00,2025-02-09T00:00:00,TRAFFIC_BLOCK,240,COMPLETED
TASK-00549,AST-399,DEF-00462,DEP-001,SEC-004,CORRECTIVE,2024-06-15T00:00:00,2024-06-15T01:00:00,2024-06-25T00:00:00,NONE,60,COMPLETED
TASK-00553,AST-402,DEF-00465,DEP-001,SEC-005,EMERGENCY,2024-12-25T05:00:00,2024-12-25T09:00:00,2025-01-01T05:00:00,TRAFFIC_BLOCK,240,COMPLETED
TASK-00552,AST-402,DEF-00465,DEP-001,SEC-005,EMERGENCY,2024-12-21T05:00:00,2024-12-21T09:00:00,2024-12-22T00:00:00,TRAFFIC_BLOCK,240,DEFERRED
TASK-00557,AST-408,DEF-00468,DEP-001,SEC-004,CORRECTIVE,2025-05-04T00:00:00,2025-05-04T01:00:00,2025-05-12T00:00:00,NONE,60,COMPLETED
TASK-00558,AST-408,DEF-00469,DEP-001,SEC-004,EMERGENCY,2025-07-11T11:00:00,2025-07-11T15:00:00,2025-07-12T00:00:00,TRAFFIC_BLOCK,240,COMPLETED
TASK-00562,AST-411,DEF-00473,DEP-001,SEC-005,CORRECTIVE,2023-12-15T00:00:00,2023-12-15T01:00:00,2023-12-30T00:00:00,NONE,60,COMPLETED
TASK-00563,AST-411,DEF-00474,DEP-001,SEC-005,CORRECTIVE,2024-09-17T00:00:00,2024-09-17T01:00:00,2024-09-25T00:00:00,NONE,60,COMPLETED
TASK-00578,AST-428,DEF-00488,DEP-001,SEC-003,CORRECTIVE,2024-05-03T00:00:00,2024-05-03T02:00:00,2024-05-09T00:00:00,SHADOW,120,COMPLETED
TASK-00579,AST-428,DEF-00489,DEP-001,SEC-003,CORRECTIVE,2026-05-14T00:00:00,2026-05-14T01:00:00,2026-05-19T00:00:00,NONE,60,COMPLETED
TASK-00584,AST-432,DEF-00494,DEP-001,SEC-006,EMERGENCY,2026-07-19T01:00:00,2026-07-19T05:00:00,2026-07-20T00:00:00,TRAFFIC_BLOCK,240,COMPLETED
TASK-00597,AST-440,DEF-00503,DEP-001,SEC-006,CORRECTIVE,2025-12-14T00:00:00,2025-12-14T02:00:00,2025-12-21T00:00:00,SHADOW,120,COMPLETED
TASK-00596,AST-440,DEF-00503,DEP-001,SEC-006,CORRECTIVE,2025-12-06T00:00:00,2025-12-06T02:00:00,2025-12-09T00:00:00,SHADOW,120,DEFERRED
TASK-00608,AST-451,DEF-00513,DEP-001,SEC-001,CORRECTIVE,2024-05-05T00:00:00,2024-05-05T02:00:00,2024-05-13T00:00:00,SHADOW,120,COMPLETED
TASK-00610,AST-454,DEF-00515,DEP-001,SEC-004,CORRECTIVE,2025-01-03T00:00:00,2025-01-03T02:00:00,2025-01-09T00:00:00,SHADOW,120,COMPLETED
TASK-00612,AST-457,DEF-00517,DEP-001,SEC-004,CORRECTIVE,2024-06-16T00:00:00,2024-06-16T01:00:00,2024-06-29T00:00:00,NONE,60,COMPLETED
