block_id,section_id,block_type,planned_start,planned_end,actual_start,actual_end,status,purpose,requesting_department,task_id
BLK-00014,SEC-002,TRAFFIC_BLOCK,2024-08-29T02:00:00,2024-08-29T05:00:00,2024-08-29T02:33:00,2024-08-29T05:56:00,COMPLETED,Maintenance work for task TASK-00023 on asset AST-020,S&T,TASK-00023
BLK-00015,SEC-002,SHADOW,2025-11-08T00:00:00,2025-11-08T02:00:00,2025-11-08T00:29:00,2025-11-08T02:33:00,COMPLETED,Maintenance work for task TASK-00025 on asset AST-023,ENGINEERING,TASK-00025
BLK-00016,SEC-006,SHADOW,2024-12-31T00:00:00,2024-12-31T01:30:00,2024-12-31T00:47:00,2024-12-31T02:37:00,COMPLETED,Maintenance work for task TASK-00028 on asset AST-026,S&T,TASK-00028
BLK-00017,SEC-006,SHADOW,2025-01-27T00:00:00,2025-01-27T01:30:00,2025-01-27T00:09:00,2025-01-27T01:42:00,COMPLETED,Maintenance work for task TASK-00029 on asset AST-026,S&T,TASK-00029
BLK-00018,SEC-005,TRAFFIC_BLOCK,2024-03-04T04:00:00,2024-03-04T07:00:00,2024-03-04T03:50:00,2024-03-04T07:08:00,COMPLETED,Maintenance work for task TASK-00032 on asset AST-028,S&T,TASK-00032
BLK-00019,SEC-002,SHADOW,2026-04-01T00:00:00,2026-04-01T01:30:00,2026-04-01T00:20:00,2026-04-01T02:09:00,COMPLETED,Maintenance work for task TASK-00035 on asset AST-030,S&T,TASK-00035
BLK-00020,SEC-001,SHADOW,2024-10-13T00:00:00,2024-10-13T01:30:00,2024-10-12T23:51:00,2024-10-13T01:33:00,COMPLETED,Maintenance work for task TASK-00038 on asset AST-031,S&T,TASK-00038
BLK-00021,SEC-002,POWER_BLOCK,2024-03-20T00:00:00,2024-03-20T02:00:00,2024-03-19T23:52:00,2024-03-20T02:06:00,COMPLETED,Maintenance work for task TASK-00040 on asset AST-034,TRD,TASK-00040
BLK-00022,SEC-003,POWER_BLOCK,2025-11-16T10:00:00,2025-11-16T14:00:00,2025-11-16T10:14:00,2025-11-16T14:09:00,COMPLETED,Maintenance work for task TASK-00041 on asset AST-035,TRD,TASK-00041
BLK-00023,SEC-004,SHADOW,2025-11-17T00:00:00,2025-11-17T02:00:00,2025-11-17T00:03:00,2025-11-17T01:58:00,COMPLETED,Maintenance work for task TASK-00042 on asset AST-037,ENGINEERING,TASK-00042
BLK-00024,SEC-001,TRAFFIC_BLOCK,2025-03-21T11:00:00,2025-03-21T15:00:00,2025-03-21T11:11:00,2025-03-21T14:51:00,COMPLETED,Maintenance work for task TASK-00045 on asset AST-038,ENGINEERING,TASK-00045
BLK-00025,SEC-002,TRAFFIC_BLOCK,2024-12-21T04:00:00,2024-12-21T07:00:00,2024-12-21T04:38:00,2024-12-21T07:46:00,COMPLETED,Maintenance work for task TASK-00046 on asset AST-040,S&T,TASK-00046
BLK-00026,SEC-002,SHADOW,2025-02-21T00:00:00,2025-02-21T01:30:00,2025-02-21T00:49:00,2025-02-21T02:27:00,COMPLETED,Maintenance work for task TASK-00047 on asset AST-040,S&T,TASK-00047
BLK-00027,SEC-002,SHADOW,2024-05-28T00:00:00,2024-05-28T01:30:00,2024-05-28T00:53:00,2024-05-28T02:24:00,COMPLETED,Maintenance work for task TASK-00049 on asset AST-042,S&T,TASK-00049
BLK-00028,SEC-002,TRAFFIC_BLOCK,2025-05-20T01:00:00,2025-05-20T04:00:00,2025-05-20T01:35:00,2025-05-20T04:28:00,COMPLETED,Maintenance work for task TASK-00050 on asset AST-042,S&T,TASK-00050
BLK-00029,SEC-006,POWER_BLOCK,2026-04-22T05:00:00,2026-04-22T09:00:00,2026-04-22T05:54:00,2026-04-22T10:18:00,COMPLETED,Maintenance work for task TASK-00052 on asset AST-045,TRD,TASK-00052
BLK-00030,SEC-005,TRAFFIC_BLOCK,2024-01-04T05:00:00,2024-01-04T09:00:00,2024-01-04T05:23:00,2024-01-04T10:00:00,COMPLETED,Maintenance work for task TASK-00053 on asset AST-047,ENGINEERING,TASK-00053
BLK-00031,SEC-005,TRAFFIC_BLOCK,2024-09-30T10:00:00,2024-09-30T14:00:00,2024-09-30T10:47:00,2024-09-30T14:29:00,COMPLETED,Maintenance work for task TASK-00054 on asset AST-047,ENGINEERING,TASK-00054
BLK-00032,SEC-005,SHADOW,2025-09-28T00:00:00,2025-09-28T02:00:00,2025-09-28T00:32:00,2025-09-28T02:53:00,COMPLETED,Maintenance work for task TASK-00055 on asset AST-047,ENGINEERING,TASK-00055
BLK-00033,SEC-002,POWER_BLOCK,2025-08-12T07:00:00,2025-08-12T11:00:00,2025-08-12T07:07:00,2025-08-12T11:07:00,COMPLETED,Follow-up maintenance work for task TASK-00058,TRD,TASK-00058
BLK-00034,SEC-004,POWER_BLOCK,2024-07-04T03:00:00,2024-07-04T07:00:00,2024-07-04T03:47:00,2024-07-04T07:29:00,COMPLETED,Maintenance work for task TASK-00060 on asset AST-052,TRD,TASK-00060
BLK-00035,SEC-005,POWER_BLOCK,2025-11-19T01:00:00,2025-11-19T05:00:00,2025-11-19T00:59:00,2025-11-19T04:40:00,COMPLETED,Maintenance work for task TASK-00061 on asset AST-053,TRD,TASK-00061
BLK-00036,SEC-006,SHADOW,2025-08-11T00:00:00,2025-08-11T01:30:00,2025-08-10T23:48:00,2025-08-11T01:39:00,COMPLETED,Maintenance work for task TASK-00062 on asset AST-055,S&T,TASK-00062
BLK-00037,SEC-001,SHADOW,2026-07-02T00:00:00,2026-07-02T02:00:00,2026-07-01T23:49:00,2026-07-02T02:04:00,COMPLETED,Maintenance work for task TASK-00064 on asset AST-057,ENGINEERING,TASK-00064
BLK-00038,SEC-005,SHADOW,2026-07-10T00:00:00,2026-07-10T02:00:00,2026-07-10T00:41:00,2026-07-10T03:00:00,COMPLETED,Maintenance work for task TASK-00065 on asset AST-059,ENGINEERING,TASK-00065
BLK-00039,SEC-002,SHADOW,2025-01-04T00:00:00,2025-01-04T01:30:00,2025-01-04T00:14:00,2025-01-04T01:44:00,COMPLETED,Maintenance work for task TASK-00070 on asset AST-061,S&T,TASK-00070
BLK-00040,SEC-002,TRAFFIC_BLOCK,2025-06-26T05:00:00,2025-06-26T08:00:00,2025-06-26T05:23:00,2025-06-26T08:47:00,COMPLETED,Maintenance work for task TASK-00071 on asset AST-061,S&T,TASK-00071
BLK-00041,SEC-002,SHADOW,2026-05-29T00:00:00,2026-05-29T01:30:00,2026-05-29T01:00:00,2026-05-29T02:26:00,COMPLETED,Maintenance work for task TASK-00073 on asset AST-061,S&T,TASK-00073
BLK-00042,SEC-005,TRAFFIC_BLOCK,2024-04-19T04:00:00,2024-04-19T08:00:00,2024-04-19T03:56:00,2024-04-19T08:32:00,COMPLETED,Maintenance work for task TASK-00076 on asset AST-066,ENGINEERING,TASK-00076
BLK-00043,SEC-006,SHADOW,2025-05-02T00:00:00,2025-05-02T02:00:00,2025-05-02T00:15:00,2025-05-02T02:13:00,COMPLETED,Maintenance work for task TASK-00077 on asset AST-070,ENGINEERING,TASK-00077
BLK-00044,SEC-006,TRAFFIC_BLOCK,2026-07-24T05:00:00,2026-07-24T09:00:00,2026-07-24T05:15:00,2026-07-24T09:15:00,COMPLETED,Maintenance work for task TASK-00078 on asset AST-070,ENGINEERING,TASK-00078
BLK-00045,SEC-003,POWER_BLOCK,2024-12-21T00:00:00,2024-12-21T02:00:00,2024-12-21T00:56:00,2024-12-21T02:45:00,COMPLETED,Maintenance work for task TASK-00080 on asset AST-073,TRD,TASK-00080
BLK-00046,SEC-005,SHADOW,2025-03-24T00:00:00,2025-03-24T01:30:00,2025-03-24T00:58:00,2025-03-24T02:24:00,COMPLETED,Maintenance work for task TASK-00081 on asset AST-074,S&T,TASK-00081
BLK-00047,SEC-003,SHADOW,2024-04-11T00:00:00,2024-04-11T02:00:00,2024-04-11T00:42:00,2024-04-11T02:54:00,COMPLETED,Maintenance work for task TASK-00084 on asset AST-077,ENGINEERING,TASK-00084
BLK-00048,SEC-003,SHADOW,2026-01-08T00:00:00,2026-01-08T02:00:00,2026-01-08T00:22:00,2026-01-08T02:22:00,COMPLETED,Follow-up maintenance work for task TASK-00086,ENGINEERING,TASK-00086
BLK-00049,SEC-003,SHADOW,2026-04-09T00:00:00,2026-04-09T02:00:00,2026-04-09T00:03:00,2026-04-09T02:03:00,COMPLETED,Follow-up maintenance work for task TASK-00088,ENGINEERING,TASK-00088
BLK-00050,SEC-002,TRAFFIC_BLOCK,2024-12-20T05:00:00,2024-12-20T09:00:00,2024-12-20T05:26:00,2024-12-20T09:26:00,COMPLETED,Follow-up maintenance work for task TASK-00092,ENGINEERING,TASK-00092
BLK-00051,SEC-001,SHADOW,2023-11-04T00:00:00,2023-11-04T02:00:00,2023-11-03T23:57:00,2023-11-04T02:07:00,COMPLETED,Maintenance work for task TASK-00094 on asset AST-087,ENGINEERING,TASK-00094
BLK-00052,SEC-001,TRAFFIC_BLOCK,2026-04-20T09:00:00,2026-04-20T13:00:00,2026-04-20T09:34:00,2026-04-20T14:29:00,COMPLETED,Maintenance work for task TASK-00095 on asset AST-087,ENGINEERING,TASK-00095
BLK-00053,SEC-004,SHADOW,2023-10-18T00:00:00,2023-10-18T02:00:00,2023-10-18T00:06:00,2023-10-18T01:54:00,COMPLETED,Maintenance work for task TASK-00096 on asset AST-089,ENGINEERING,TASK-00096
BLK-00054,SEC-003,TRAFFIC_BLOCK,2024-06-17T11:00:00,2024-06-17T15:00:00,2024-06-17T11:02:00,2024-06-17T15:02:00,COMPLETED,Follow-up maintenance work for task TASK-00099,ENGINEERING,TASK-00099
BLK-00055,SEC-005,SHADOW,2025-11-29T00:00:00,2025-11-29T01:30:00,2025-11-29T00:17:00,2025-11-29T01:49:00,COMPLETED,Maintenance work for task TASK-00104 on asset AST-093,S&T,TASK-00104
BLK-00056,SEC-004,SHADOW,2024-07-07T00:00:00,2024-07-07T01:30:00,2024-07-07T00:58:00,2024-07-07T02:46:00,COMPLETED,Maintenance work for task TASK-00110 on asset AST-098,S&T,TASK-00110
BLK-00057,SEC-003,SHADOW,2024-02-10T00:00:00,2024-02-10T01:30:00,2024-02-10T00:00:00,2024-02-10T01:30:00,COMPLETED,Follow-up maintenance work for task TASK-00115,S&T,TASK-00115
BLK-00058,SEC-004,TRAFFIC_BLOCK,2025-09-16T03:00:00,2025-09-16T07:00:00,2025-09-16T03:05:00,2025-09-16T07:05:00,COMPLETED,Follow-up maintenance work for task TASK-00118,ENGINEERING,TASK-00118
BLK-00059,SEC-006,TRAFFIC_BLOCK,2026-06-16T05:00:00,2026-06-16T09:00:00,2026-06-16T05:04:00,2026-06-16T09:26:00,COMPLETED,Maintenance work for task TASK-00119 on asset AST-103,ENGINEERING,TASK-00119
BLK-00060,SEC-004,TRAFFIC_BLOCK,2024-11-17T01:00:00,2024-11-17T04:00:00,2024-11-17T01:51:00,2024-11-17T05:22:00,COMPLETED,Maintenance work for task TASK-00124 on asset AST-105,S&T,TASK-00124
BLK-00061,SEC-004,SHADOW,2025-09-20T00:00:00,2025-09-20T01:30:00,2025-09-20T00:16:00,2025-09-20T01:48:00,COMPLETED,Maintenance work for task TASK-00126 on asset AST-105,S&T,TASK-00126
BLK-00062,SEC-002,POWER_BLOCK,2024-04-25T07:00:00,2024-04-25T11:00:00,2024-04-25T07:29:00,2024-04-25T11:25:00,COMPLETED,Maintenance work for task TASK-00131 on asset AST-113,TRD,TASK-00131
BLK-00063,SEC-002,POWER_BLOCK,2026-06-21T00:00:00,2026-06-21T02:00:00,2026-06-20T23:49:00,2026-06-21T02:16:00,COMPLETED,Maintenance work for task TASK-00132 on asset AST-113,TRD,TASK-00132
BLK-00064,SEC-001,SHADOW,2023-11-29T00:00:00,2023-11-29T01:30:00,2023-11-29T00:47:00,2023-11-29T02:14:00,COMPLETED,Maintenance work for task TASK-00133 on asset AST-114,S&T,TASK-00133
BLK-00065,SEC-001,TRAFFIC_BLOCK,2025-09-17T06:00:00,2025-09-17T09:00:00,2025-09-17T05:46:00,2025-09-17T08:55:00,COMPLETED,Maintenance work for task TASK-00135 on asset AST-114,S&T,TASK-00135
BLK-00066,SEC-001,SHADOW,2026-06-20T00:00:00,2026-06-20T01:30:00,2026-06-20T00:04:00,2026-06-20T01:32:00,COMPLETED,Maintenance work for task TASK-00136 on asset AST-114,S&T,TASK-00136
BLK-00067,SEC-001,SHADOW,2026-07-20T00:00:00,2026-07-20T01:30:00,2026-07-19T23:51:00,2026-07-20T01:23:00,COMPLETED,Maintenance work for task TASK-00137 on asset AST-114,S&T,TASK-00137
BLK-00068,SEC-005,TRAFFIC_BLOCK,2025-10-22T06:00:00,2025-10-22T09:00:00,2025-10-22T06:04:00,2025-10-22T09:04:00,COMPLETED,Follow-up maintenance work for task TASK-00142,S&T,TASK-00142
BLK-00069,SEC-005,POWER_BLOCK,2024-07-16T00:00:00,2024-07-16T02:00:00,2024-07-16T00:52:00,2024-07-16T03:09:00,COMPLETED,Maintenance work for task TASK-00144 on asset AST-121,TRD,TASK-00144
BLK-00070,SEC-001,SHADOW,2024-06-04T00:00:00,2024-06-04T01:30:00,2024-06-04T00:27:00,2024-06-04T01:48:00,COMPLETED,Maintenance work for task TASK-00145 on asset AST-122,S&T,TASK-00145
BLK-00071,SEC-001,SHADOW,2025-05-04T00:00:00,2025-05-04T01:30:00,2025-05-04T00:35:00,2025-05-04T02:18:00,COMPLETED,Maintenance work for task TASK-00146 on asset AST-122,S&T,TASK-00146
BLK-00072,SEC-003,SHADOW,2025-06-30T00:00:00,2025-06-30T02:00:00,2025-06-29T23:54:00,2025-06-30T01:51:00,COMPLETED,Maintenance work for task TASK-00148 on asset AST-124,ENGINEERING,TASK-00148
BLK-00073,SEC-003,TRAFFIC_BLOCK,2024-03-19T12:00:00,2024-03-19T16:00:00,2024-03-19T11:59:00,2024-03-19T15:58:00,COMPLETED,Maintenance work for task TASK-00149 on asset AST-125,ENGINEERING,TASK-00149
BLK-00074,SEC-001,POWER_BLOCK,2024-08-23T06:00:00,2024-08-23T10:00:00,2024-08-23T06:37:00,2024-08-23T10:35:00,COMPLETED,Maintenance work for task TASK-00150 on asset AST-127,TRD,TASK-00150
BLK-00075,SEC-005,TRAFFIC_BLOCK,2024-10-29T05:00:00,2024-10-29T08:00:00,2024-10-29T05:26:00,2024-10-29T08:26:00,COMPLETED,Follow-up maintenance work for task TASK-00152,S&T,TASK-00152
BLK-00076,SEC-005,TRAFFIC_BLOCK,2024-11-22T03:00:00,2024-11-22T06:00:00,2024-11-22T03:51:00,2024-11-22T07:24:00,COMPLETED,Maintenance work for task TASK-00153 on asset AST-129,S&T,TASK-00153
BLK-00077,SEC-002,SHADOW,2025-09-28T00:00:00,2025-09-28T01:30:00,2025-09-28T00:12:00,2025-09-28T01:33:00,COMPLETED,Maintenance work for task TASK-00155 on asset AST-130,S&T,TASK-00155
BLK-00078,SEC-001,POWER_BLOCK,2023-08-05T02:00:00,2023-08-05T06:00:00,2023-08-05T03:00:00,2023-08-05T07:39:00,COMPLETED,Maintenance work for task TASK-00158 on asset AST-135,TRD,TASK-00158
BLK-00079,SEC-001,POWER_BLOCK,2025-11-28T00:00:00,2025-11-28T02:00:00,2025-11-28T00:18:00,2025-11-28T02:10:00,COMPLETED,Maintenance work for task TASK-00159 on asset AST-135,TRD,TASK-00159
BLK-00080,SEC-005,TRAFFIC_BLOCK,2024-07-20T10:00:00,2024-07-20T13:00:00,2024-07-20T10:11:00,2024-07-20T13:11:00,COMPLETED,Follow-up maintenance work for task TASK-00162,S&T,TASK-00162
BLK-00081,SEC-003,TRAFFIC_BLOCK,2026-07-26T05:00:00,2026-07-26T09:00:00,2026-07-26T05:30:00,2026-07-26T09:11:00,COMPLETED,Maintenance work for task TASK-00166 on asset AST-144,ENGINEERING,TASK-00166
BLK-00082,SEC-004,TRAFFIC_BLOCK,2025-09-19T06:00:00,2025-09-19T09:00:00,2025-09-19T06:24:00,2025-09-19T09:24:00,COMPLETED,Follow-up maintenance work for task TASK-00169,S&T,TASK-00169
BLK-00083,SEC-006,SHADOW,2024-12-03T00:00:00,2024-12-03T02:00:00,2024-12-03T00:03:00,2024-12-03T02:03:00,COMPLETED,Follow-up maintenance work for task TASK-00171,ENGINEERING,TASK-00171
BLK-00084,SEC-006,SHADOW,2025-11-25T00:00:00,2025-11-25T02:00:00,2025-11-24T23:52:00,2025-11-25T02:04:00,COMPLETED,Maintenance work for task TASK-00172 on asset AST-148,ENGINEERING,TASK-00172
BLK-00085,SEC-002,SHADOW,2024-02-21T00:00:00,2024-02-21T02:00:00,2024-02-21T00:01:00,2024-02-21T02:25:00,COMPLETED,Maintenance work for task TASK-00177 on asset AST-151,ENGINEERING,TASK-00177
BLK-00086,SEC-003,TRAFFIC_BLOCK,2026-03-21T04:00:00,2026-03-21T08:00:00,2026-03-21T04:58:00,2026-03-21T09:09:00,COMPLETED,Maintenance work for task TASK-00178 on asset AST-154,ENGINEERING,TASK-00178
BLK-00087,SEC-004,POWER_BLOCK,2025-08-11T03:00:00,2025-08-11T07:00:00,2025-08-11T03:18:00,2025-08-11T07:45:00,COMPLETED,Maintenance work for task TASK-00179 on asset AST-156,TRD,TASK-00179
BLK-00088,SEC-004,TRAFFIC_BLOCK,2026-07-07T01:00:00,2026-07-07T04:00:00,2026-07-07T01:52:00,2026-07-07T04:40:00,COMPLETED,Maintenance work for task TASK-00181 on asset AST-157,S&T,TASK-00181
BLK-00089,SEC-004,POWER_BLOCK,2025-03-16T00:00:00,2025-03-16T02:00:00,2025-03-16T00:35:00,2025-03-16T02:31:00,COMPLETED,Maintenance work for task TASK-00182 on asset AST-158,TRD,TASK-00182
BLK-00090,SEC-005,SHADOW,2023-10-24T00:00:00,2023-10-24T01:30:00,2023-10-24T00:42:00,2023-10-24T02:10:00,COMPLETED,Maintenance work for task TASK-00183 on asset AST-159,S&T,TASK-00183
BLK-00091,SEC-001,SHADOW,2026-03-16T00:00:00,2026-03-16T02:00:00,2026-03-16T00:09:00,2026-03-16T02:05:00,COMPLETED,Maintenance work for task TASK-00184 on asset AST-160,ENGINEERING,TASK-00184
BLK-00092,SEC-004,TRAFFIC_BLOCK,2025-07-08T02:00:00,2025-07-08T06:00:00,2025-07-08T02:11:00,2025-07-08T06:23:00,COMPLETED,Maintenance work for task TASK-00185 on asset AST-166,ENGINEERING,TASK-00185
BLK-00093,SEC-004,SHADOW,2026-04-09T00:00:00,2026-04-09T02:00:00,2026-04-09T00:45:00,2026-04-09T03:01:00,COMPLETED,Maintenance work for task TASK-00186 on asset AST-166,ENGINEERING,TASK-00186
BLK-00094,SEC-003,SHADOW,2026-02-02T00:00:00,2026-02-02T02:00:00,2026-02-02T00:21:00,2026-02-02T02:22:00,COMPLETED,Maintenance work for task TASK-00188 on asset AST-167,ENGINEERING,TASK-00188
BLK-00095,SEC-003,SHADOW,2026-05-03T00:00:00,2026-05-03T02:00:00,2026-05-03T00:51:00,2026-05-03T03:14:00,COMPLETED,Maintenance work for task TASK-00189 on asset AST-167,ENGINEERING,TASK-00189
BLK-00096,SEC-005,POWER_BLOCK,2025-07-07T06:00:00,2025-07-07T10:00:00,2025-07-07T06:53:00,2025-07-07T11:31:00,COMPLETED,Maintenance work for task TASK-00190 on asset AST-169,TRD,TASK-00190
BLK-00097,SEC-001,POWER_BLOCK,2023-10-24T00:00:00,2023-10-24T02:00:00,2023-10-23T23:47:00,2023-10-24T02:06:00,COMPLETED,Maintenance work for task TASK-00193 on asset AST-171,TRD,TASK-00193
BLK-00098,SEC-005,TRAFFIC_BLOCK,2024-10-01T06:00:00,2024-10-01T09:00:00,2024-10-01T06:02:00,2024-10-01T09:45:00,COMPLETED,Maintenance work for task TASK-00199 on asset AST-177,S&T,TASK-00199
BLK-00099,SEC-001,TRAFFIC_BLOCK,2024-05-21T09:00:00,2024-05-21T12:00:00,2024-05-21T09:53:00,2024-05-21T12:44:00,COMPLETED,Maintenance work for task TASK-00201 on asset AST-179,S&T,TASK-00201
BLK-00100,SEC-001,POWER_BLOCK,2025-08-20T10:00:00,2025-08-20T14:00:00,2025-08-20T10:12:00,2025-08-20T14:26:00,COMPLETED,Maintenance work for task TASK-00206 on asset AST-183,TRD,TASK-00206
BLK-00101,SEC-002,SHADOW,2026-05-20T00:00:00,2026-05-20T01:30:00,2026-05-19T23:53:00,2026-05-20T01:15:00,COMPLETED,Maintenance work for task TASK-00207 on asset AST-184,S&T,TASK-00207
BLK-00102,SEC-004,POWER_BLOCK,2025-05-21T00:00:00,2025-05-21T02:00:00,2025-05-21T00:14:00,2025-05-21T02:29:00,COMPLETED,Maintenance work for task TASK-00208 on asset AST-185,TRD,TASK-00208
BLK-00103,SEC-006,TRAFFIC_BLOCK,2025-05-04T07:00:00,2025-05-04T10:00:00,2025-05-04T07:27:00,2025-05-04T10:27:00,COMPLETED,Follow-up maintenance work for task TASK-00210,S&T,TASK-00210
BLK-00104,SEC-004,TRAFFIC_BLOCK,2025-12-30T08:00:00,2025-12-30T12:00:00,2025-12-30T08:21:00,2025-12-30T12:21:00,COMPLETED,Follow-up maintenance work for task TASK-00214,ENGINEERING,TASK-00214
BLK-00105,SEC-005,SHADOW,2024-11-12T00:00:00,2024-11-12T02:00:00,2024-11-11T23:53:00,2024-11-12T02:21:00,COMPLETED,Maintenance work for task TASK-00215 on asset AST-192,ENGINEERING,TASK-00215
BLK-00106,SEC-004,POWER_BLOCK,2023-09-29T02:00:00,2023-09-29T06:00:00,2023-09-29T02:03:00,2023-09-29T06:03:00,COMPLETED,Follow-up maintenance work for task TASK-00217,TRD,TASK-00217
BLK-00107,SEC-004,POWER_BLOCK,2025-09-12T11:00:00,2025-09-12T15:00:00,2025-09-12T12:00:00,2025-09-12T15:44:00,COMPLETED,Maintenance work for task TASK-00218 on asset AST-193,TRD,TASK-00218
BLK-00108,SEC-003,TRAFFIC_BLOCK,2025-08-07T01:00:00,2025-08-07T04:00:00,2025-08-07T01:05:00,2025-08-07T04:05:00,COMPLETED,Follow-up maintenance work for task TASK-00222,S&T,TASK-00222
BLK-00109,SEC-003,SHADOW,2025-10-09T00:00:00,2025-10-09T01:30:00,2025-10-09T00:06:00,2025-10-09T01:36:00,COMPLETED,Follow-up maintenance work for task TASK-00224,S&T,TASK-00224
BLK-00110,SEC-003,SHADOW,2026-04-30T00:00:00,2026-04-30T01:30:00,2026-04-29T23:59:00,2026-04-30T01:23:00,COMPLETED,Maintenance work for task TASK-00225 on asset AST-194,S&T,TASK-00225
BLK-00111,SEC-003,SHADOW,2026-05-20T00:00:00,2026-05-20T01:30:00,2026-05-20T00:26:00,2026-05-20T02:06:00,COMPLETED,Maintenance work for task TASK-00236 on asset AST-200,S&T,TASK-00236
BLK-00112,SEC-001,SHADOW,2024-05-27T00:00:00,2024-05-27T02:00:00,2024-05-27T00:09:00,2024-05-27T02:26:00,COMPLETED,Maintenance work for task TASK-00237 on asset AST-201,ENGINEERING,TASK-00237
BLK-00113,SEC-001,POWER_BLOCK,2024-07-12T00:00:00,2024-07-12T02:00:00,2024-07-11T23:53:00,2024-07-12T02:04:00,COMPLETED,Maintenance work for task TASK-00238 on asset AST-202,TRD,TASK-00238
BLK-00114,SEC-006,SHADOW,2025-07-31T00:00:00,2025-07-31T02:00:00,2025-07-31T00:09:00,2025-07-31T02:17:00,COMPLETED,Maintenance work for task TASK-00239 on asset AST-203,ENGINEERING,TASK-00239
BLK-00115,SEC-002,SHADOW,2024-09-30T00:00:00,2024-09-30T02:00:00,2024-09-29T23:48:00,2024-09-30T02:02:00,COMPLETED,Maintenance work for task TASK-00241 on asset AST-206,ENGINEERING,TASK-00241
BLK-00116,SEC-006,POWER_BLOCK,2025-06-15T01:00:00,2025-06-15T05:00:00,2025-06-15T01:14:00,2025-06-15T06:09:00,COMPLETED,Maintenance work for task TASK-00243 on asset AST-207,TRD,TASK-00243
BLK-00117,SEC-006,POWER_BLOCK,2025-12-19T00:00:00,2025-12-19T02:00:00,2025-12-18T23:53:00,2025-12-19T01:42:00,COMPLETED,Maintenance work for task TASK-00244 on asset AST-207,TRD,TASK-00244
BLK-00118,SEC-002,POWER_BLOCK,2026-01-16T00:00:00,2026-01-16T02:00:00,2026-01-16T00:17:00,2026-01-16T02:24:00,COMPLETED,Maintenance work for task TASK-00247 on asset AST-212,TRD,TASK-00247
BLK-00119,SEC-002,POWER_BLOCK,2026-05-13T00:00:00,2026-05-13T02:00:00,2026-05-13T01:00:00,2026-05-13T03:26:00,COMPLETED,Maintenance work for task TASK-00248 on asset AST-212,TRD,TASK-00248
