defect_id,asset_id,detected_date,inspection_id,defect_type,severity_level,safety_effect,operational_effect,status,resolved_date
DEF-00084,AST-087,2026-04-20T00:00:00,INS-01904,Excessive Rail Wear,CRITICAL,Speed restriction 15 km/h,Speed Restriction,CLOSED,2026-04-20T14:29:00
DEF-00085,AST-089,2023-10-12T00:00:00,INS-01918,Track Parameter Deviation,MAJOR,Speed restriction 30 km/h,Speed Restriction,CLOSED,2023-10-18T01:54:00
DEF-00086,AST-090,2024-09-05T00:00:00,INS-01934,Track Parameter Deviation,MINOR,No restriction,,CLOSED,2024-09-15T00:57:00
DEF-00087,AST-091,2024-06-12T00:00:00,INS-01945,Track Parameter Deviation,CRITICAL,Speed restriction 15 km/h,Speed Restriction,CLOSED,2024-06-17T15:02:00
DEF-00100,AST-102,2025-09-13T00:00:00,INS-02236,REPETITIVE: Excessive Rail Wear,CRITICAL,Speed restriction 15 km/h,Speed Restriction,CLOSED,2025-09-16T07:05:00
DEF-00101,AST-103,2026-06-16T00:00:00,INS-02251,Excessive Rail Wear,CRITICAL,Speed restriction 15 km/h,Speed Restriction,CLOSED,2026-06-16T09:26:00
DEF-00125,AST-124,2025-06-27T00:00:00,INS-02800,Track Parameter Deviation,MAJOR,Speed restriction 30 km/h,Speed Restriction,CLOSED,2025-06-30T01:51:00
DEF-00126,AST-125,2024-03-19T00:00:00,INS-02807,Track Parameter Deviation,CRITICAL,Speed restriction 15 km/h,Speed Restriction,CLOSED,2024-03-19T15:58:00
DEF-00139,AST-142,2026-07-06T00:00:00,INS-03203,Track Parameter Deviation,MINOR,No restriction,,CLOSED,2026-07-27T01:01:00
DEF-00140,AST-144,2026-07-26T00:00:00,INS-03229,Track Parameter Deviation,CRITICAL,Speed restriction 15 km/h,Speed Restriction,CLOSED,2026-07-26T09:11:00
DEF-00143,AST-148,2024-11-24T00:00:00,INS-03321,Excessive Rail Wear,MAJOR,Speed restriction 30 km/h,Speed Restriction,CLOSED,2024-12-03T02:03:00
DEF-00144,AST-148,2025-11-19T00:00:00,INS-03325,Excessive Rail Wear,MAJOR,Speed restriction 30 km/h,Speed Restriction,CLOSED,2025-11-25T02:04:00
DEF-00148,AST-151,2024-02-16T00:00:00,INS-03385,Excessive Rail Wear,MAJOR,Speed restriction 30 km/h,Speed Restriction,CLOSED,2024-02-21T02:25:00
DEF-00149,AST-154,2026-03-21T00:00:00,INS-03431,REPETITIVE: Track Parameter Deviation,CRITICAL,Speed restriction 15 km/h,Speed Restriction,CLOSED,2026-03-21T09:09:00
DEF-00155,AST-160,2026-03-14T00:00:00,INS-03563,REPETITIVE: Excessive Rail Wear,MAJOR,Speed restriction 30 km/h,Speed Restriction,CLOSED,2026-03-16T02:05:00
DEF-00156,AST-166,2025-07-08T00:00:00,INS-03712,Excessive Rail Wear,CRITICAL,Speed restriction 15 km/h,Speed Restriction,CLOSED,2025-07-08T06:23:00
DEF-00157,AST-166,2026-04-04T00:00:00,INS-03715,Excessive Rail Wear,MAJOR,Speed restriction 30 km/h,Speed Restriction,CLOSED,2026-04-09T03:01:00
DEF-00158,AST-167,2025-02-04T00:00:00,INS-03723,Track Parameter Deviation,MINOR,No restriction,,CLOSED,2025-02-21T01:32:00
DEF-00159,AST-167,2026-01-30T00:00:00,INS-03727,Excessive Rail Wear,MAJOR,Speed restriction 30 km/h,Speed Restriction,CLOSED,2026-02-02T02:22:00
DEF-00160,AST-167,2026-04-30T00:00:00,INS-03728,Track Parameter Deviation,MAJOR,Speed restriction 30 km/h,Speed Restriction,CLOSED,2026-05-03T03:14:00
DEF-00181,AST-189,2025-12-27T00:00:00,INS-04271,Excessive Rail Wear,CRITICAL,Speed restriction 15 km/h,Speed Restriction,CLOSED,2025-12-30T12:21:00
DEF-00182,AST-192,2024-11-06T00:00:00,INS-04310,Excessive Rail Wear,MAJOR,Speed restriction 30 km/h,Speed Restriction,CLOSED,2024-11-12T02:21:00
DEF-00197,AST-201,2024-05-21T00:00:00,INS-04527,Excessive Rail Wear,MAJOR,Speed restriction 30 km/h,Speed Restriction,CLOSED,2024-05-27T02:26:00
DEF-00199,AST-203,2025-07-25T00:00:00,INS-04562,Excessive Rail Wear,MAJOR,Speed restriction 30 km/h,Speed Restriction,CLOSED,2025-07-31T02:17:00
DEF-00201,AST-206,2024-09-23T00:00:00,INS-04625,Excessive Rail Wear,MAJOR,Speed restriction 30 km/h,Speed Restriction,CLOSED,2024-09-30T02:02:00
DEF-00202,AST-206,2025-12-17T00:00:00,INS-04630,Track Parameter Deviation,MINOR,No restriction,,CLOSED,2025-12-31T00:49:00
DEF-00218,AST-218,2025-11-11T00:00:00,INS-04909,Track Parameter Deviation,MINOR,No restriction,,CLOSED,2025-12-06T01:53:00
DEF-00237,AST-230,2025-12-29T00:00:00,INS-05206,REPETITIVE: Track Parameter Deviation,MAJOR,Speed restriction 30 km/h,Speed Restriction,CLOSED,2026-01-02T01:57:00
DEF-00248,AST-235,2025-11-12T00:00:00,INS-05347,Excessive Rail Wear,CRITICAL,Speed restriction 15 km/h,Speed Restriction,CLOSED,2025-11-12T08:15:00
DEF-00249,AST-236,2024-03-10T00:00:00,INS-05352,Track Parameter Deviation,MAJOR,Speed restriction 30 km/h,Speed Restriction,CLOSED,2024-03-17T01:39:00
DEF-00250,AST-236,2025-09-01T00:00:00,INS-05358,Excessive Rail Wear,MAJOR,Speed restriction 30 km/h,Speed Restriction,CLOSED,2025-09-03T03:04:00
DEF-00251,AST-237,2025-01-02T00:00:00,INS-05367,Excessive Rail Wear,MAJOR,Speed restriction 30 km/h,Speed Restriction,CLOSED,2025-01-04T02:19:00
DEF-00255,AST-244,2024-10-01T00:00:00,INS-05536,Track Parameter Deviation,CRITICAL,Speed restriction 15 km/h,Speed Restriction,CLOSED,2024-10-01T15:05:00
DEF-00259,AST-246,2026-01-25T00:00:00,INS-05590,Excessive Rail Wear,MAJOR,Speed restriction 30 km/h,Speed Restriction,CLOSED,2026-01-28T03:07:00
DEF-00285,AST-261,2025-07-26T00:00:00,INS-05989,Track Parameter Deviation,MINOR,No restriction,,CLOSED,2025-08-14T02:01:00
DEF-00286,AST-263,2025-01-05T00:00:00,INS-06011,Excessive Rail Wear,MAJOR,Speed restriction 30 km/h,Speed Restriction,CLOSED,2025-01-14T02:13:00
DEF-00290,AST-268,2024-04-12T00:00:00,INS-06146,Excessive Rail Wear,CRITICAL,Speed restriction 15 km/h,Speed Restriction,CLOSED,2024-04-12T07:56:00
DEF-00292,AST-270,2025-12-20T00:00:00,INS-06183,Track Parameter Deviation,CRITICAL,Speed restriction 15 km/h,Speed Restriction,CLOSED,2025-12-20T07:49:00
DEF-00302,AST-277,2025-10-26T00:00:00,INS-06360,Excessive Rail Wear,MAJOR,Speed restriction 30 km/h,Speed Restriction,CLOSED,2025-11-01T02:36:00
DEF-00303,AST-277,2026-04-24T00:00:00,INS-06362,Track Parameter Deviation,MINOR,No restriction,,CLOSED,2026-05-15T00:48:00
DEF-00312,AST-282,2025-02-01T00:00:00,INS-06516,Excessive Rail Wear,CRITICAL,Speed restriction 15 km/h,Speed Restriction,CLOSED,2025-02-01T14:47:00
DEF-00313,AST-284,2025-02-09T00:00:00,INS-06547,Excessive Rail Wear,MAJOR,Speed restriction 30 km/h,Speed Restriction,CLOSED,2025-02-16T02:27:00
DEF-00316,AST-286,2025-04-30T00:00:00,INS-06596,Track Parameter Deviation,MINOR,No restriction,,CLOSED,2025-05-24T01:08:00
DEF-00319,AST-289,2024-05-25T00:00:00,INS-06660,Track Parameter Deviation,CRITICAL,Speed restriction 15 km/h,Speed Restriction,CLOSED,2024-05-29T12:04:00
DEF-00325,AST-292,2024-08-27T00:00:00,INS-06745,Track Parameter Deviation,MINOR,No restriction,,CLOSED,2024-09-15T01:56:00
DEF-00329,AST-295,2024-03-13T00:00:00,INS-06809,Excessive Rail Wear,MAJOR,Speed restriction 30 km/h,Speed Restriction,CLOSED,2024-03-18T03:19:00
DEF-00330,AST-295,2025-12-03T00:00:00,INS-06816,REPETITIVE: Excessive Rail Wear,MAJOR,Speed restriction 30 km/h,Speed Restriction,CLOSED,2025-12-07T02:15:00
DEF-00333,AST-298,2025-08-09T00:00:00,INS-06901,Excessive Rail Wear,CRITICAL,Speed restriction 15 km/h,Speed Restriction,CLOSED,2025-08-09T06:23:00
DEF-00338,AST-301,2024-11-19T00:00:00,INS-06983,REPETITIVE: Excessive Rail Wear,CRITICAL,Speed restriction 15 km/h,Speed Restriction,CLOSED,2024-11-19T11:13:00
DEF-00347,AST-307,2023-12-08T00:00:00,INS-07117,Excessive Rail Wear,MAJOR,Speed restriction 30 km/h,Speed Restriction,CLOSED,2023-12-13T02:13:00
DEF-00348,AST-307,2024-06-05T00:00:00,INS-07119,Excessive Rail Wear,CRITICAL,Speed restriction 15 km/h,Speed Restriction,CLOSED,2024-06-05T15:39:00
DEF-00349,AST-310,2025-01-02T00:00:00,INS-07157,Track Parameter Deviation,MAJOR,Speed restriction 30 km/h,Speed Restriction,CLOSED,2025-01-08T02:06:00
DEF-00350,AST-310,2025-12-28T00:00:00,INS-07161,Track Parameter Deviation,MINOR,No restriction,,CLOSED,2026-01-16T01:28:00
DEF-00357,AST-318,2023-12-07T00:00:00,INS-07354,Excessive Rail Wear,MAJOR,Speed restriction 30 km/h,Speed Restriction,CLOSED,2023-12-12T02:11:00
DEF-00369,AST-330,2024-04-15T00:00:00,INS-07653,Excessive Rail Wear,CRITICAL,Speed restriction 15 km/h,Speed Restriction,CLOSED,2024-04-18T15:21:00
DEF-00370,AST-331,2024-02-06T00:00:00,INS-07665,Excessive Rail Wear,MAJOR,Speed restriction 30 km/h,Speed Restriction,CLOSED,2024-02-12T02:05:00
DEF-00375,AST-334,2024-06-05T00:00:00,INS-07733,Track Parameter Deviation,MINOR,No restriction,,CLOSED,2024-06-29T01:27:00
DEF-00376,AST-334,2025-08-29T00:00:00,INS-07738,Excessive Rail Wear,MAJOR,Speed restriction 30 km/h,Speed Restriction,CLOSED,2025-09-05T02:01:00
DEF-00377,AST-335,2025-04-03T00:00:00,INS-07748,Excessive Rail Wear,CRITICAL,Speed restriction 15 km/h,Speed Restriction,CLOSED,2025-04-03T11:21:00
DEF-00380,AST-339,2026-03-06T00:00:00,INS-07848,Excessive Rail Wear,MAJOR,Speed restriction 30 km/h,Speed Restriction,CLOSED,2026-03-16T02:29:00
DEF-00392,AST-347,2024-06-04T00:00:00,INS-08058,Track Parameter Deviation,MINOR,No restriction,,CLOSED,2024-06-27T01:14:00
DEF-00397,AST-349,2024-06-05T00:00:00,INS-08106,Track Parameter Deviation,CRITICAL,Speed restriction 15 km/h,Speed Restriction,CLOSED,2024-06-05T15:33:00
DEF-00398,AST-349,2025-03-02T00:00:00,INS-08109,Track Parameter Deviation,CRITICAL,Speed restriction 15 km/h,Speed Restriction,CLOSED,2025-03-02T17:42:00
DEF-00399,AST-349,2025-05-31T00:00:00,INS-08110,REPETITIVE: Excessive Rail Wear,MAJOR,Speed restriction 30 km/h,Speed Restriction,CLOSED,2025-06-02T02:17:00
DEF-00401,AST-354,2023-08-12T00:00:00,INS-08193,Track Parameter Deviation,MINOR,No restriction,,CLOSED,2023-08-26T01:30:00
DEF-00402,AST-354,2025-10-30T00:00:00,INS-08202,Track Parameter Deviation,MINOR,No restriction,,CLOSED,2025-11-21T01:18:00
DEF-00410,AST-360,2024-10-05T00:00:00,INS-08369,Track Parameter Deviation,CRITICAL,Speed restriction 15 km/h,Speed Restriction,CLOSED,2024-10-05T11:00:00
DEF-00411,AST-360,2025-01-03T00:00:00,INS-08370,Excessive Rail Wear,CRITICAL,Speed restriction 15 km/h,Speed Restriction,CLOSED,2025-01-03T12:25:00
DEF-00423,AST-367,2026-04-09T00:00:00,INS-08568,Track Parameter Deviation,MINOR,No restriction,,CLOSED,2026-04-25T01:23:00
DEF-00429,AST-372,2025-01-11T00:00:00,INS-08648,Track Parameter Deviation,CRITICAL,Speed restriction 15 km/h,Speed Restriction,CLOSED,2025-01-11T15:40:00
DEF-00430,AST-372,2026-04-06T00:00:00,INS-08653,Track Parameter Deviation,MINOR,No restriction,,CLOSED,2026-04-28T01:17:00
DEF-00436,AST-376,2023-10-14T00:00:00,INS-08746,Track Parameter Deviation,MINOR,No restriction,,CLOSED,2023-11-06T01:53:00
DEF-00446,AST-389,2024-10-29T00:00:00,INS-09031,Excessive Rail Wear,MAJOR,Speed restriction 30 km/h,Speed Restriction,CLOSED,2024-11-01T02:27:00
DEF-00448,AST-391,2026-01-27T00:00:00,INS-09086,Excessive Rail Wear,CRITICAL,Speed restriction 15 km/h,Speed Restriction,CLOSED,2026-01-27T11:23:00
DEF-00455,AST-396,2025-01-19T00:00:00,INS-09198,Excessive Rail Wear,CRITICAL,Speed restriction 15 km/h,Speed Restriction,CLOSED,2025-01-19T11:09:00
DEF-00456,AST-396,2025-10-16T00:00:00,INS-09201,Excessive Rail Wear,MAJOR,Speed restriction 30 km/h,Speed Restriction,CLOSED,2025-10-24T02:18:00
DEF-00457,AST-397,2024-05-14T00:00:00,INS-09208,Track Parameter Deviation,MAJOR,Speed restriction 30 km/h,Speed Restriction,CLOSED,2024-05-18T01:53:00
DEF-00458,AST-397,2024-08-12T00:00:00,INS-09209,Track Parameter Deviation,CRITICAL,Speed restriction 15 km/h,Speed Restriction,CLOSED,2024-08-12T08:30:00
DEF-00459,AST-397,2025-02-08T00:00:00,INS-09211,Excessive Rail Wear,CRITICAL,Speed restriction 15 km/h,Speed Restriction,CLOSED,2025-02-08T10:54:00
DEF-00462,AST-399,2024-05-26T00:00:00,INS-09256,Track Parameter Deviation,MINOR,No restriction,,CLOSED,2024-06-15T01:21:00
DEF-00465,AST-402,2024-12-21T00:00:00,INS-09342,Excessive Rail Wear,CRITICAL,Speed restriction 15 km/h,Speed Restriction,CLOSED,2024-12-25T09:00:00
DEF-00468,AST-408,2025-04-12T00:00:00,INS-09469,REPETITIVE: Track Parameter Deviation,MINOR,No restriction,,CLOSED,2025-05-04T01:06:00
DEF-00469,AST-408,2025-07-11T00:00:00,INS-09470,Excessive Rail Wear,CRITICAL,Speed restriction 15 km/h,Speed Restriction,CLOSED,2025-07-11T16:36:00
DEF-00473,AST-411,2023-11-30T00:00:00,INS-09549,Track Parameter Deviation,MINOR,No restriction,,CLOSED,2023-12-15T01:33:00
DEF-00474,AST-411,2024-08-26T00:00:00,INS-09552,Track Parameter Deviation,MINOR,No restriction,,CLOSED,2024-09-17T01:49:00
DEF-00488,AST-428,2024-04-29T00:00:00,INS-09941,Track Parameter Deviation,MAJOR,Speed restriction 30 km/h,Speed Restriction,CLOSED,2024-05-03T03:09:00
DEF-00489,AST-428,2026-04-19T00:00:00,INS-09949,Track Parameter Deviation,MINOR,No restriction,,CLOSED,2026-05-14T01:42:00
DEF-00494,AST-432,2026-07-19T00:00:00,INS-10049,Excessive Rail Wear,CRITICAL,Speed restriction 15 km/h,Speed Restriction,CLOSED,2026-07-19T05:51:00
DEF-00503,AST-440,2025-11-29T00:00:00,INS-10248,Excessive Rail Wear,MAJOR,Speed restriction 30 km/h,Speed Restriction,CLOSED,2025-12-14T02:03:00
DEF-00513,AST-451,2024-05-03T00:00:00,INS-10494,Excessive Rail Wear,MAJOR,Speed restriction 30 km/h,Speed Restriction,CLOSED,2024-05-05T02:45:00
DEF-00515,AST-454,2024-12-30T00:00:00,INS-10581,Excessive Rail Wear,MAJOR,Speed restriction 30 km/h,Speed Restriction,CLOSED,2025-01-03T02:35:00
DEF-00517,AST-457,2024-05-30T00:00:00,INS-10640,REPETITIVE: Track Parameter Deviation,MINOR,No restriction,,CLOSED,2024-06-16T01:58:00
DEF-00519,AST-460,2023-08-22T00:00:00,INS-10679,Track Parameter Deviation,MINOR,No restriction,,CLOSED,2023-09-18T01:25:00
DEF-00520,AST-461,2024-04-02T00:00:00,INS-10693,Track Parameter Deviation,CRITICAL,Speed restriction 15 km/h,Speed Restriction,CLOSED,2024-04-02T12:07:00
DEF-00521,AST-461,2025-12-23T00:00:00,INS-10700,Track Parameter Deviation,MINOR,No restriction,,CLOSED,2026-01-23T01:14:00
DEF-00530,AST-475,2025-01-28T00:00:00,INS-11026,Excessive Rail Wear,MAJOR,Speed restriction 30 km/h,Speed Restriction,CLOSED,2025-02-01T02:10:00
DEF-00531,AST-475,2025-07-27T00:00:00,INS-11028,Excessive Rail Wear,MAJOR,Speed restriction 30 km/h,Speed Restriction,CLOSED,2025-08-01T02:28:00
DEF-00535,AST-479,2025-06-14T00:00:00,INS-11114,Track Parameter Deviation,MINOR,No restriction,,CLOSED,2025-07-01T01:02:00
DEF-00536,AST-479,2025-12-11T00:00:00,INS-11116,Excessive Rail Wear,MINOR,No restriction,,CLOSED,2025-12-31T01:03:00
DEF-00537,AST-479,2026-06-09T00:00:00,INS-11118,Excessive Rail Wear,MAJOR,Speed restriction 30 km/h,Speed Restriction,CLOSED,2026-06-14T02:38:00
DEF-00538,AST-480,2024-06-25T00:00:00,INS-11122,Excessive Rail Wear,CRITICAL,Speed restriction 15 km/h,Speed Restriction,CLOSED,2024-06-25T10:26:00
DEF-00539,AST-480,2024-09-23T00:00:00,INS-11123,Track Parameter Deviation,MINOR,No restriction,,CLOSED,2024-10-06T01:44:00
DEF-00540,AST-480,2025-06-20T00:00:00,INS-11126,Excessive Rail Wear,MAJOR,Speed restriction 30 km/h,Speed Restriction,CLOSED,2025-06-25T02:10:00
DEF-00541,AST-481,2024-10-17T00:00:00,INS-11135,Excessive Rail Wear,CRITICAL,Speed restriction 15 km/h,Speed Restriction,CLOSED,2024-10-17T15:03:00
DEF-00542,AST-481,2025-10-12T00:00:00,INS-11139,Track Parameter Deviation,CRITICAL,Speed restriction 15 km/h,Speed Restriction,CLOSED,2025-10-12T06:44:00
DEF-00543,AST-481,2026-01-10T00:00:00,INS-11140,Excessive Rail Wear,MAJOR,Speed restriction 30 km/h,Speed Restriction,CLOSED,2026-01-13T02:37:00
DEF-00549,AST-488,2024-07-04T00:00:00,INS-11278,Track Parameter Deviation,CRITICAL,Speed restriction 15 km/h,Speed Restriction,CLOSED,2024-07-04T08:09:00
DEF-00554,AST-490,2024-10-14T00:00:00,INS-11328,Excessive Rail Wear,CRITICAL,Speed restriction 15 km/h,Speed Restriction,CLOSED,2024-10-14T08:42:00
DEF-00555,AST-490,2025-01-12T00:00:00,INS-11329,Track Parameter Deviation,MINOR,No restriction,,CLOSED,2025-02-01T01:06:00
DEF-00556,AST-490,2026-04-07T00:00:00,INS-11334,Track Parameter Deviation,CRITICAL,Speed restriction 15 km/h,Speed Restriction,CLOSED,2026-04-07T16:11:00
DEF-00561,AST-494,2023-12-27T00:00:00,INS-11385,Excessive Rail Wear,MAJOR,Speed restriction 30 km/h,Speed Restriction,CLOSED,2023-12-30T02:18:00
DEF-00562,AST-494,2024-06-24T00:00:00,INS-11387,Track Parameter Deviation,CRITICAL,Speed restriction 15 km/h,Speed Restriction,CLOSED,2024-06-24T06:00:00
DEF-00563,AST-495,2024-09-23T00:00:00,INS-11400,Track Parameter Deviation,CRITICAL,Speed restriction 15 km/h,Speed Restriction,CLOSED,2024-09-26T11:23:00
DEF-00582,AST-510,2026-03-15T00:00:00,INS-11771,Excessive Rail Wear,MAJOR,Speed restriction 30 km/h,Speed Restriction,CLOSED,2026-03-21T02:19:00
DEF-00584,AST-512,2024-01-20T00:00:00,INS-11810,Excessive Rail Wear,CRITICAL,Speed restriction 15 km/h,Speed Restriction,CLOSED,2024-01-20T08:22:00
DEF-00585,AST-512,2025-10-11T00:00:00,INS-11817,Track Parameter Deviation,CRITICAL,Speed restriction 15 km/h,Speed Restriction,CLOSED,2025-10-20T10:08:00
DEF-00587,AST-516,2026-01-15T00:00:00,INS-11891,Excessive Rail Wear,CRITICAL,Speed restriction 15 km/h,Speed Restriction,CLOSED,2026-01-15T07:13:00
DEF-00597,AST-525,2024-04-08T00:00:00,INS-12099,Excessive Rail Wear,MAJOR,Speed restriction 30 km/h,Speed Restriction,CLOSED,2024-04-11T02:57:00
DEF-00598,AST-525,2026-06-27T00:00:00,INS-12108,Track Parameter Deviation,MINOR,No restriction,,CLOSED,2026-07-07T01:20:00
DEF-00599,AST-528,2024-10-25T00:00:00,INS-12138,Excessive Rail Wear,CRITICAL,Speed restriction 15 km/h,Speed Restriction,CLOSED,2024-10-25T10:28:00
DEF-00600,AST-528,2025-01-23T00:00:00,INS-12139,Track Parameter Deviation,MINOR,No restriction,,CLOSED,2025-02-16T01:28:00
DEF-00609,AST-535,2023-11-16T00:00:00,INS-12305,Track Parameter Deviation,CRITICAL,Speed restriction 15 km/h,Speed Restriction,CLOSED,2023-11-16T09:38:00
DEF-00610,AST-535,2024-05-14T00:00:00,INS-12307,Track Parameter Deviation,MAJOR,Speed restriction 30 km/h,Speed Restriction,CLOSED,2024-05-16T02:44:00
DEF-00611,AST-535,2026-05-04T00:00:00,INS-12315,REPETITIVE: Excessive Rail Wear,MAJOR,Speed restriction 30 km/h,Speed Restriction,CLOSED,2026-05-19T02:17:00
DEF-00612,AST-536,2025-05-03T00:00:00,INS-12323,Track Parameter Deviation,CRITICAL,Speed restriction 15 km/h,Speed Restriction,CLOSED,2025-05-03T15:00:00
DEF-00614,AST-539,2024-03-03T00:00:00,INS-12380,Excessive Rail Wear,CRITICAL,Speed restriction 15 km/h,Speed Restriction,CLOSED,2024-03-03T16:27:00
DEF-00616,AST-541,2025-07-23T00:00:00,INS-12416,Excessive Rail Wear,MAJOR,Speed restriction 30 km/h,Speed Restriction,CLOSED,2025-07-26T02:04:00
DEF-00617,AST-542,2024-12-30T00:00:00,INS-12426,Excessive Rail Wear,CRITICAL,Speed restriction 15 km/h,Speed Restriction,CLOSED,2024-12-30T08:45:00
DEF-00618,AST-542,2025-06-28T00:00:00,INS-12428,Track Parameter Deviation,MINOR,No restriction,,CLOSED,2025-07-15T01:03:00
DEF-00619,AST-542,2025-09-26T00:00:00,INS-12429,Excessive Rail Wear,MAJOR,Speed restriction 30 km/h,Speed Restriction,CLOSED,2025-10-05T02:23:00
DEF-00620,AST-543,2025-04-01T00:00:00,INS-12439,Excessive Rail Wear,CRITICAL,Speed restriction 15 km/h,Speed Restriction,CLOSED,2025-04-01T12:50:00
DEF-00625,AST-546,2023-10-04T00:00:00,INS-12518,Excessive Rail Wear,MAJOR,Speed restriction 30 km/h,Speed Restriction,CLOSED,2023-10-08T02:01:00
DEF-00627,AST-549,2025-12-10T00:00:00,INS-12575,Track Parameter Deviation,MINOR,No restriction,,CLOSED,2025-12-29T01:58:00
