forecast_id,section_id,forecast_date,forecast_hour,estimated_goods_trains_count,confidence_score,generated_at
FC-000146,SEC-001,2026-05-04,1,3,0.83,2026-05-03T12:00:00
FC-000147,SEC-001,2026-05-04,2,1,0.91,2026-05-03T12:00:00
FC-000148,SEC-001,2026-05-04,3,2,0.88,2026-05-03T12:00:00
FC-000149,SEC-001,2026-05-04,4,2,0.71,2026-05-03T12:00:00
FC-000150,SEC-001,2026-05-04,5,0,0.7,2026-05-03T12:00:00
FC-000151,SEC-001,2026-05-04,6,0,0.74,2026-05-03T12:00:00
FC-000152,SEC-001,2026-05-04,7,0,0.77,2026-05-03T12:00:00
FC-000153,SEC-001,2026-05-04,8,0,0.89,2026-05-03T12:00:00
FC-000154,SEC-001,2026-05-04,9,0,0.91,2026-05-03T12:00:00
FC-000155,SEC-001,2026-05-04,10,0,0.75,2026-05-03T12:00:00
FC-000156,SEC-001,2026-05-04,11,1,0.87,2026-05-03T12:00:00
FC-000157,SEC-001,2026-05-04,12,0,0.7,2026-05-03T12:00:00
FC-000158,SEC-001,2026-05-04,13,0,0.93,2026-05-03T12:00:00
FC-000159,SEC-001,2026-05-04,14,1,0.84,2026-05-03T12:00:00
FC-000160,SEC-001,2026-05-04,15,0,0.76,2026-05-03T12:00:00
FC-000161,SEC-001,2026-05-04,16,1,0.73,2026-05-03T12:00:00
FC-000162,SEC-001,2026-05-04,17,0,0.83,2026-05-03T12:00:00
FC-000163,SEC-001,2026-05-04,18,0,0.9,2026-05-03T12:00:00
FC-000164,SEC-001,2026-05-04,19,1,0.73,2026-05-03T12:00:00
FC-000165,SEC-001,2026-05-04,20,0,0.78,2026-05-03T12:00:00
FC-000166,SEC-001,2026-05-04,21,0,0.78,2026-05-03T12:00:00
FC-000167,SEC-001,2026-05-04,22,3,0.87,2026-05-03T12:00:00
FC-000168,SEC-001,2026-05-04,23,0,0.95,2026-05-03T12:00:00
FC-000169,SEC-002,2026-05-04,0,1,0.75,2026-05-03T12:00:00
FC-000170,SEC-002,2026-05-04,1,1,0.86,2026-05-03T12:00:00
FC-000171,SEC-002,2026-05-04,2,1,0.71,2026-05-03T12:00:00
FC-000172,SEC-002,2026-05-04,3,2,0.91,2026-05-03T12:00:00
FC-000173,SEC-002,2026-05-04,4,3,0.83,2026-05-03T12:00:00
FC-000174,SEC-002,2026-05-04,5,0,0.91,2026-05-03T12:00:00
FC-000175,SEC-002,2026-05-04,6,2,0.7,2026-05-03T12:00:00
FC-000176,SEC-002,2026-05-04,7,0,0.89,2026-05-03T12:00:00
FC-000177,SEC-002,2026-05-04,8,0,0.77,2026-05-03T12:00:00
FC-000178,SEC-002,2026-05-04,9,1,0.73,2026-05-03T12:00:00
FC-000179,SEC-002,2026-05-04,10,0,0.93,2026-05-03T12:00:00
FC-000180,SEC-002,2026-05-04,11,1,0.81,2026-05-03T12:00:00
FC-000181,SEC-002,2026-05-04,12,0,0.76,2026-05-03T12:00:00
FC-000182,SEC-002,2026-05-04,13,1,0.74,2026-05-03T12:00:00
FC-000183,SEC-002,2026-05-04,14,0,0.88,2026-05-03T12:00:00
FC-000184,SEC-002,2026-05-04,15,1,0.79,2026-05-03T12:00:00
FC-000185,SEC-002,2026-05-04,16,0,0.87,2026-05-03T12:00:00
FC-000186,SEC-002,2026-05-04,17,0,0.9,2026-05-03T12:00:00
FC-000187,SEC-002,2026-05-04,18,0,0.77,2026-05-03T12:00:00
FC-000188,SEC-002,2026-05-04,19,0,0.92,2026-05-03T12:00:00
FC-000189,SEC-002,2026-05-04,20,0,0.86,2026-05-03T12:00:00
FC-000190,SEC-002,2026-05-04,21,0,0.94,2026-05-03T12:00:00
FC-000191,SEC-002,2026-05-04,22,3,0.88,2026-05-03T12:00:00
FC-000192,SEC-002,2026-05-04,23,0,0.73,2026-05-03T12:00:00
FC-000193,SEC-003,2026-05-04,0,3,0.85,2026-05-03T12:00:00
FC-000194,SEC-003,2026-05-04,1,1,0.82,2026-05-03T12:00:00
FC-000195,SEC-003,2026-05-04,2,2,0.79,2026-05-03T12:00:00
FC-000196,SEC-003,2026-05-04,3,3,0.91,2026-05-03T12:00:00
FC-000197,SEC-003,2026-05-04,4,1,0.84,2026-05-03T12:00:00
FC-000198,SEC-003,2026-05-04,5,1,0.76,2026-05-03T12:00:00
FC-000199,SEC-003,2026-05-04,6,0,0.87,2026-05-03T12:00:00
FC-000200,SEC-003,2026-05-04,7,0,0.86,2026-05-03T12:00:00
FC-000201,SEC-003,2026-05-04,8,1,0.73,2026-05-03T12:00:00
FC-000202,SEC-003,2026-05-04,9,0,0.91,2026-05-03T12:00:00
FC-000203,SEC-003,2026-05-04,10,2,0.83,2026-05-03T12:00:00
FC-000204,SEC-003,2026-05-04,11,0,0.86,2026-05-03T12:00:00
FC-000205,SEC-003,2026-05-04,12,0,0.74,2026-05-03T12:00:00
FC-000206,SEC-003,2026-05-04,13,0,0.83,2026-05-03T12:00:00
FC-000207,SEC-003,2026-05-04,14,1,0.92,2026-05-03T12:00:00
FC-000208,SEC-003,2026-05-04,15,0,0.88,2026-05-03T12:00:00
FC-000209,SEC-003,2026-05-04,16,2,0.84,2026-05-03T12:00:00
FC-000210,SEC-003,2026-05-04,17,1,0.83,2026-05-03T12:00:00
FC-000211,SEC-003,2026-05-04,18,0,0.75,2026-05-03T12:00:00
FC-000212,SEC-003,2026-05-04,19,1,0.84,2026-05-03T12:00:00
FC-000213,SEC-003,2026-05-04,20,0,0.86,2026-05-03T12:00:00
FC-000214,SEC-003,2026-05-04,21,0,0.8,2026-05-03T12:00:00
FC-000215,SEC-003,2026-05-04,22,4,0.71,2026-05-03T12:00:00
FC-000216,SEC-003,2026-05-04,23,2,0.94,2026-05-03T12:00:00
FC-000217,SEC-004,2026-05-04,0,2,0.91,2026-05-03T12:00:00
FC-000218,SEC-004,2026-05-04,1,3,0.84,2026-05-03T12:00:00
FC-000219,SEC-004,2026-05-04,2,2,0.93,2026-05-03T12:00:00
FC-000220,SEC-004,2026-05-04,3,1,0.93,2026-05-03T12:00:00
FC-000221,SEC-004,2026-05-04,4,4,0.89,2026-05-03T12:00:00
FC-000222,SEC-004,2026-05-04,5,0,0.84,2026-05-03T12:00:00
FC-000223,SEC-004,2026-05-04,6,0,0.91,2026-05-03T12:00:00
FC-000224,SEC-004,2026-05-04,7,0,0.84,2026-05-03T12:00:00
FC-000225,SEC-004,2026-05-04,8,0,0.93,2026-05-03T12:00:00
FC-000226,SEC-004,2026-05-04,9,0,0.89,2026-05-03T12:00:00
FC-000227,SEC-004,2026-05-04,10,0,0.84,2026-05-03T12:00:00
FC-000228,SEC-004,2026-05-04,11,1,0.82,2026-05-03T12:00:00
FC-000229,SEC-004,2026-05-04,12,0,0.82,2026-05-03T12:00:00
FC-000230,SEC-004,2026-05-04,13,0,0.79,2026-05-03T12:00:00
FC-000231,SEC-004,2026-05-04,14,5,0.85,2026-05-03T12:00:00
FC-000232,SEC-004,2026-05-04,15,0,0.83,2026-05-03T12:00:00
FC-000233,SEC-004,2026-05-04,16,0,0.8,2026-05-03T12:00:00
FC-000234,SEC-004,2026-05-04,17,1,0.92,2026-05-03T12:00:00
FC-000235,SEC-004,2026-05-04,18,1,0.76,2026-05-03T12:00:00
FC-000236,SEC-004,2026-05-04,19,1,0.91,2026-05-03T12:00:00
FC-000237,SEC-004,2026-05-04,20,0,0.85,2026-05-03T12:00:00
FC-000238,SEC-004,2026-05-04,21,0,0.73,2026-05-03T12:00:00
FC-000239,SEC-004,2026-05-04,22,2,0.79,2026-05-03T12:00:00
FC-000240,SEC-004,2026-05-04,23,1,0.71,2026-05-03T12:00:00
FC-000241,SEC-005,2026-05-04,0,1,0.79,2026-05-03T12:00:00
FC-000242,SEC-005,2026-05-04,1,3,0.87,2026-05-03T12:00:00
FC-000243,SEC-005,2026-05-04,2,0,0.81,2026-05-03T12:00:00
FC-000244,SEC-005,2026-05-04,3,2,0.94,2026-05-03T12:00:00
FC-000245,SEC-005,2026-05-04,4,4,0.78,2026-05-03T12:00:00
FC-000246,SEC-005,2026-05-04,5,1,0.92,2026-05-03T12:00:00
FC-000247,SEC-005,2026-05-04,6,1,0.76,2026-05-03T12:00:00
FC-000248,SEC-005,2026-05-04,7,0,0.88,2026-05-03T12:00:00
FC-000249,SEC-005,2026-05-04,8,1,0.95,2026-05-03T12:00:00
FC-000250,SEC-005,2026-05-04,9,1,0.89,2026-05-03T12:00:00
FC-000251,SEC-005,2026-05-04,10,0,0.83,2026-05-03T12:00:00
FC-000252,SEC-005,2026-05-04,11,0,0.73,2026-05-03T12:00:00
FC-000253,SEC-005,2026-05-04,12,0,0.83,2026-05-03T12:00:00
FC-000254,SEC-005,2026-05-04,13,0,0.74,2026-05-03T12:00:00
FC-000255,SEC-005,2026-05-04,14,0,0.76,2026-05-03T12:00:00
FC-000256,SEC-005,2026-05-04,15,0,0.73,2026-05-03T12:00:00
FC-000257,SEC-005,2026-05-04,16,0,0.86,2026-05-03T12:00:00
FC-000258,SEC-005,2026-05-04,17,0,0.82,2026-05-03T12:00:00
FC-000259,SEC-005,2026-05-04,18,1,0.94,2026-05-03T12:00:00
FC-000260,SEC-005,2026-05-04,19,0,0.9,2026-05-03T12:00:00
FC-000261,SEC-005,2026-05-04,20,0,0.82,2026-05-03T12:00:00
FC-000262,SEC-005,2026-05-04,21,0,0.93,2026-05-03T12:00:00
FC-000263,SEC-005,2026-05-04,22,1,0.79,2026-05-03T12:00:00
FC-000264,SEC-005,2026-05-04,23,1,0.73,2026-05-03T12:00:00
FC-000265,SEC-006,2026-05-04,0,2,0.79,2026-05-03T12:00:00
FC-000266,SEC-006,2026-05-04,1,2,0.94,2026-05-03T12:00:00
FC-000267,SEC-006,2026-05-04,2,6,0.82,2026-05-03T12:00:00
FC-000268,SEC-006,2026-05-04,3,2,0.94,2026-05-03T12:00:00
FC-000269,SEC-006,2026-05-04,4,0,0.94,2026-05-03T12:00:00
FC-000270,SEC-006,2026-05-04,5,0,0.92,2026-05-03T12:00:00
FC-000271,SEC-006,2026-05-04,6,0,0.74,2026-05-03T12:00:00
FC-000272,SEC-006,2026-05-04,7,0,0.72,2026-05-03T12:00:00
FC-000273,SEC-006,2026-05-04,8,0,0.73,2026-05-03T12:00:00
FC-000274,SEC-006,2026-05-04,9,1,0.77,2026-05-03T12:00:00
FC-000275,SEC-006,2026-05-04,10,1,0.77,2026-05-03T12:00:00
FC-000276,SEC-006,2026-05-04,11,0,0.88,2026-05-03T12:00:00
FC-000277,SEC-006,2026-05-04,12,0,0.8,2026-05-03T12:00:00
FC-000278,SEC-006,2026-05-04,13,0,0.92,2026-05-03T12:00:00
FC-000279,SEC-006,2026-05-04,14,0,0.84,2026-05-03T12:00:00
FC-000280,SEC-006,2026-05-04,15,1,0.8,2026-05-03T12:00:00
FC-000281,SEC-006,2026-05-04,16,1,0.81,2026-05-03T12:00:00
FC-000282,SEC-006,2026-05-04,17,1,0.79,2026-05-03T12:00:00
FC-000283,SEC-006,2026-05-04,18,1,0.85,2026-05-03T12:00:00
FC-000284,SEC-006,2026-05-04,19,0,0.73,2026-05-03T12:00:00
FC-000285,SEC-006,2026-05-04,20,0,0.81,2026-05-03T12:00:00
FC-000286,SEC-006,2026-05-04,21,0,0.73,2026-05-03T12:00:00
FC-000287,SEC-006,2026-05-04,22,2,0.84,2026-05-03T12:00:00
FC-000288,SEC-006,2026-05-04,23,1,0.88,2026-05-03T12:00:00
FC-000289,SEC-001,2026-05-05,0,0,0.8,2026-05-04T12:00:00
FC-000290,SEC-001,2026-05-05,1,1,0.79,2026-05-04T12:00:00
FC-000291,SEC-001,2026-05-05,2,1,0.88,2026-05-04T12:00:00
FC-000292,SEC-001,2026-05-05,3,1,0.78,2026-05-04T12:00:00
FC-000293,SEC-001,2026-05-05,4,1,0.8,2026-05-04T12:00:00
FC-000294,SEC-001,2026-05-05,5,0,0.88,2026-05-04T12:00:00
FC-000295,SEC-001,2026-05-05,6,0,0.86,2026-05-04T12:00:00
FC-000296,SEC-001,2026-05-05,7,0,0.81,2026-05-04T12:00:00
FC-000297,SEC-001,2026-05-05,8,0,0.92,2026-05-04T12:00:00
FC-000298,SEC-001,2026-05-05,9,0,0.89,2026-05-04T12:00:00
FC-000299,SEC-001,2026-05-05,10,1,0.85,2026-05-04T12:00:00
FC-000300,SEC-001,2026-05-05,11,0,0.9,2026-05-04T12:00:00
FC-000301,SEC-001,2026-05-05,12,1,0.76,2026-05-04T12:00:00
FC-000302,SEC-001,2026-05-05,13,0,0.87,2026-05-04T12:00:00
FC-000303,SEC-001,2026-05-05,14,0,0.83,2026-05-04T12:00:00
FC-000304,SEC-001,2026-05-05,15,0,0.81,2026-05-04T12:00:00
FC-000305,SEC-001,2026-05-05,16,1,0.86,2026-05-04T12:00:00
FC-000306,SEC-001,2026-05-05,17,0,0.83,2026-05-04T12:00:00
FC-000307,SEC-001,2026-05-05,18,0,0.72,2026-05-04T12:00:00
FC-000308,SEC-001,2026-05-05,19,0,0.87,2026-05-04T12:00:00
FC-000309,SEC-001,2026-05-05,20,1,0.89,2026-05-04T12:00:00
FC-000310,SEC-001,2026-05-05,21,1,0.8,2026-05-04T12:00:00
FC-000311,SEC-001,2026-05-05,22,1,0.74,2026-05-04T12:00:00
FC-000312,SEC-001,2026-05-05,23,0,0.73,2026-05-04T12:00:00
FC-000313,SEC-002,2026-05-05,0,3,0.72,2026-05-04T12:00:00
FC-000314,SEC-002,2026-05-05,1,0,0.82,2026-05-04T12:00:00
FC-000315,SEC-002,2026-05-05,2,5,0.89,2026-05-04T12:00:00
FC-000316,SEC-002,2026-05-05,3,3,0.8,2026-05-04T12:00:00
FC-000317,SEC-002,2026-05-05,4,0,0.7,2026-05-04T12:00:00
FC-000318,SEC-002,2026-05-05,5,0,0.76,2026-05-04T12:00:00
FC-000319,SEC-002,2026-05-05,6,0,0.91,2026-05-04T12:00:00
FC-000320,SEC-002,2026-05-05,7,0,0.7,2026-05-04T12:00:00
FC-000321,SEC-002,2026-05-05,8,0,0.93,2026-05-04T12:00:00
FC-000322,SEC-002,2026-05-05,9,1,0.84,2026-05-04T12:00:00
FC-000323,SEC-002,2026-05-05,10,0,0.72,2026-05-04T12:00:00
FC-000324,SEC-002,2026-05-05,11,2,0.9,2026-05-04T12:00:00
FC-000325,SEC-002,2026-05-05,12,1,0.71,2026-05-04T12:00:00
FC-000326,SEC-002,2026-05-05,13,2,0.82,2026-05-04T12:00:00
FC-000327,SEC-002,2026-05-05,14,2,0.88,2026-05-04T12:00:00
FC-000328,SEC-002,2026-05-05,15,0,0.84,2026-05-04T12:00:00
FC-000329,SEC-002,2026-05-05,16,0,0.94,2026-05-04T12:00:00
FC-000330,SEC-002,2026-05-05,17,1,0.73,2026-05-04T12:00:00
FC-000331,SEC-002,2026-05-05,18,0,0.91,2026-05-04T12:00:00
FC-000332,SEC-002,2026-05-05,19,0,0.91,2026-05-04T12:00:00
FC-000333,SEC-002,2026-05-05,20,3,0.74,2026-05-04T12:00:00
FC-000334,SEC-002,2026-05-05,21,0,0.8,2026-05-04T12:00:00
FC-000335,SEC-002,2026-05-05,22,1,0.82,2026-05-04T12:00:00
FC-000336,SEC-002,2026-05-05,23,2,0.76,2026-05-04T12:00:00
FC-000337,SEC-003,2026-05-05,0,1,0.85,2026-05-04T12:00:00
FC-000338,SEC-003,2026-05-05,1,3,0.82,2026-05-04T12:00:00
FC-000339,SEC-003,2026-05-05,2,2,0.89,2026-05-04T12:00:00
FC-000340,SEC-003,2026-05-05,3,3,0.75,2026-05-04T12:00:00
FC-000341,SEC-003,2026-05-05,4,2,0.75,2026-05-04T12:00:00
FC-000342,SEC-003,2026-05-05,5,0,0.78,2026-05-04T12:00:00
FC-000343,SEC-003,2026-05-05,6,0,0.88,2026-05-04T12:00:00
FC-000344,SEC-003,2026-05-05,7,0,0.72,2026-05-04T12:00:00
FC-000345,SEC-003,2026-05-05,8,3,0.75,2026-05-04T12:00:00
FC-000346,SEC-003,2026-05-05,9,1,0.86,2026-05-04T12:00:00
FC-000347,SEC-003,2026-05-05,10,0,0.74,2026-05-04T12:00:00
