history_id,task_id,actual_start,actual_end,work_done,completion_status,actual_duration_minutes,team_lead
HIST-00071,TASK-00077,2025-05-02T00:15:00,2025-05-02T02:13:00,Rectified defect: Track Parameter Deviation. Restored parameter to nominal bounds.,COMPLETED,118,T-102
HIST-00072,TASK-00078,2026-07-24T05:15:00,2026-07-24T09:15:00,Rectified defect: Track Parameter Deviation. Restored parameter to nominal bounds.,COMPLETED,240,T-201 (Signal Staff)
HIST-00078,TASK-00084,2024-04-11T00:42:00,2024-04-11T02:54:00,Rectified defect: Excessive Rail Wear. Restored parameter to nominal bounds.,COMPLETED,132,T-201 (Signal Staff)
HIST-00080,TASK-00086,2026-01-08T00:22:00,2026-01-08T02:22:00,Rectified deferred defect: Excessive Rail Wear.,COMPLETED,120,T-101 (Engineering Gang)
HIST-00079,TASK-00085,2026-01-03T00:00:00,2026-01-03T00:00:00,Task deferred: Scheduled window could not be granted due to traffic overhead.,DEFERRED,0,T-102
HIST-00082,TASK-00088,2026-04-09T00:03:00,2026-04-09T02:03:00,Rectified deferred defect: Track Parameter Deviation.,COMPLETED,120,T-102
HIST-00081,TASK-00087,2026-03-31T00:00:00,2026-03-31T00:00:00,Task deferred: Scheduled window could not be granted due to traffic overhead.,DEFERRED,0,T-102
HIST-00084,TASK-00090,2024-08-30T00:23:00,2024-08-30T01:32:00,Rectified defect: Track Parameter Deviation. Restored parameter to nominal bounds.,COMPLETED,69,T-202
HIST-00086,TASK-00092,2024-12-20T05:26:00,2024-12-20T09:26:00,Rectified deferred defect: Excessive Rail Wear.,COMPLETED,240,T-302
HIST-00085,TASK-00091,2024-12-16T05:00:00,2024-12-16T05:00:00,Task deferred: Scheduled window could not be granted due to traffic overhead.,DEFERRED,0,T-201 (Signal Staff)
HIST-00087,TASK-00093,2025-03-27T00:58:00,2025-03-27T01:58:00,Rectified defect: REPETITIVE: Track Parameter Deviation. Restored parameter to nominal bounds.,COMPLETED,60,T-102
HIST-00088,TASK-00094,2023-11-03T23:57:00,2023-11-04T02:07:00,Rectified defect: Track Parameter Deviation. Restored parameter to nominal bounds.,COMPLETED,130,T-301 (OHE Gang)
HIST-00089,TASK-00095,2026-04-20T09:34:00,2026-04-20T14:29:00,Rectified defect: Excessive Rail Wear. Restored parameter to nominal bounds.,COMPLETED,295,T-301 (OHE Gang)
HIST-00090,TASK-00096,2023-10-18T00:06:00,2023-10-18T01:54:00,Rectified defect: Track Parameter Deviation. Restored parameter to nominal bounds.,COMPLETED,108,T-102
HIST-00091,TASK-00097,2024-09-14T23:45:00,2024-09-15T00:57:00,Rectified defect: Track Parameter Deviation. Restored parameter to nominal bounds.,COMPLETED,72,T-302
HIST-00093,TASK-00099,2024-06-17T11:02:00,2024-06-17T15:02:00,Rectified deferred defect: Track Parameter Deviation.,COMPLETED,240,T-202
HIST-00092,TASK-00098,2024-06-12T11:00:00,2024-06-12T11:00:00,Task deferred: Scheduled window could not be granted due to traffic overhead.,DEFERRED,0,T-301 (OHE Gang)
HIST-00110,TASK-00118,2025-09-16T03:05:00,2025-09-16T07:05:00,Rectified deferred defect: REPETITIVE: Excessive Rail Wear.,COMPLETED,240,T-202
HIST-00109,TASK-00117,2025-09-13T03:00:00,2025-09-13T03:00:00,Task deferred: Scheduled window could not be granted due to traffic overhead.,DEFERRED,0,T-201 (Signal Staff)
HIST-00111,TASK-00119,2026-06-16T05:04:00,2026-06-16T09:26:00,Rectified defect: Excessive Rail Wear. Restored parameter to nominal bounds.,COMPLETED,262,T-201 (Signal Staff)
HIST-00138,TASK-00148,2025-06-29T23:54:00,2025-06-30T01:51:00,Rectified defect: Track Parameter Deviation. Restored parameter to nominal bounds.,COMPLETED,117,T-102
HIST-00139,TASK-00149,2024-03-19T11:59:00,2024-03-19T15:58:00,Rectified defect: Track Parameter Deviation. Restored parameter to nominal bounds.,COMPLETED,239,T-101 (Engineering Gang)
HIST-00155,TASK-00165,2026-07-26T23:48:00,2026-07-27T01:01:00,Rectified defect: Track Parameter Deviation. Restored parameter to nominal bounds.,COMPLETED,73,T-301 (OHE Gang)
HIST-00156,TASK-00166,2026-07-26T05:30:00,2026-07-26T09:11:00,Rectified defect: Track Parameter Deviation. Restored parameter to nominal bounds.,COMPLETED,221,T-201 (Signal Staff)
HIST-00161,TASK-00171,2024-12-03T00:03:00,2024-12-03T02:03:00,Rectified deferred defect: Excessive Rail Wear.,COMPLETED,120,T-301 (OHE Gang)
HIST-00160,TASK-00170,2024-12-01T00:00:00,2024-12-01T00:00:00,Task deferred: Scheduled window could not be granted due to traffic overhead.,DEFERRED,0,T-202
HIST-00162,TASK-00172,2025-11-24T23:52:00,2025-11-25T02:04:00,Rectified defect: Excessive Rail Wear. Restored parameter to nominal bounds.,COMPLETED,132,T-101 (Engineering Gang)
HIST-00166,TASK-00177,2024-02-21T00:01:00,2024-02-21T02:25:00,Rectified defect: Excessive Rail Wear. Restored parameter to nominal bounds.,COMPLETED,144,T-102
HIST-00167,TASK-00178,2026-03-21T04:58:00,2026-03-21T09:09:00,Rectified defect: REPETITIVE: Track Parameter Deviation. Restored parameter to nominal bounds.,COMPLETED,251,T-102
HIST-00173,TASK-00184,2026-03-16T00:09:00,2026-03-16T02:05:00,Rectified defect: REPETITIVE: Excessive Rail Wear. Restored parameter to nominal bounds.,COMPLETED,116,T-101 (Engineering Gang)
HIST-00174,TASK-00185,2025-07-08T02:11:00,2025-07-08T06:23:00,Rectified defect: Excessive Rail Wear. Restored parameter to nominal bounds.,COMPLETED,252,T-302
HIST-00175,TASK-00186,2026-04-09T00:45:00,2026-04-09T03:01:00,Rectified defect: Excessive Rail Wear. Restored parameter to nominal bounds.,COMPLETED,136,T-102
HIST-00176,TASK-00187,2025-02-21T00:28:00,2025-02-21T01:32:00,Rectified defect: Track Parameter Deviation. Restored parameter to nominal bounds.,COMPLETED,64,T-101 (Engineering Gang)
HIST-00177,TASK-00188,2026-02-02T00:21:00,2026-02-02T02:22:00,Rectified defect: Excessive Rail Wear. Restored parameter to nominal bounds.,COMPLETED,121,T-302
HIST-00178,TASK-00189,2026-05-03T00:51:00,2026-05-03T03:14:00,Rectified defect: Track Parameter Deviation. Restored parameter to nominal bounds.,COMPLETED,143,T-102
HIST-00203,TASK-00214,2025-12-30T08:21:00,2025-12-30T12:21:00,Rectified deferred defect: Excessive Rail Wear.,COMPLETED,240,T-301 (OHE Gang)
HIST-00202,TASK-00213,2025-12-27T08:00:00,2025-12-27T08:00:00,Task deferred: Scheduled window could not be granted due to traffic overhead.,DEFERRED,0,T-201 (Signal Staff)
HIST-00204,TASK-00215,2024-11-11T23:53:00,2024-11-12T02:21:00,Rectified defect: Excessive Rail Wear. Restored parameter to nominal bounds.,COMPLETED,148,T-201 (Signal Staff)
HIST-00226,TASK-00237,2024-05-27T00:09:00,2024-05-27T02:26:00,Rectified defect: Excessive Rail Wear. Restored parameter to nominal bounds.,COMPLETED,137,T-302
HIST-00228,TASK-00239,2025-07-31T00:09:00,2025-07-31T02:17:00,Rectified defect: Excessive Rail Wear. Restored parameter to nominal bounds.,COMPLETED,128,T-302
HIST-00230,TASK-00241,2024-09-29T23:48:00,2024-09-30T02:02:00,Rectified defect: Excessive Rail Wear. Restored parameter to nominal bounds.,COMPLETED,134,T-302
HIST-00231,TASK-00242,2025-12-30T23:53:00,2025-12-31T00:49:00,Rectified defect: Track Parameter Deviation. Restored parameter to nominal bounds.,COMPLETED,56,T-101 (Engineering Gang)
HIST-00250,TASK-00261,2025-12-06T00:52:00,2025-12-06T01:53:00,Rectified defect: Track Parameter Deviation. Restored parameter to nominal bounds.,COMPLETED,61,T-101 (Engineering Gang)
HIST-00272,TASK-00284,2026-01-01T23:58:00,2026-01-02T01:57:00,Rectified defect: REPETITIVE: Track Parameter Deviation. Restored parameter to nominal bounds.,COMPLETED,119,T-202
HIST-00284,TASK-00296,2025-11-12T03:56:00,2025-11-12T08:15:00,Rectified defect: Excessive Rail Wear. Restored parameter to nominal bounds.,COMPLETED,259,T-202
HIST-00285,TASK-00297,2024-03-16T23:48:00,2024-03-17T01:39:00,Rectified defect: Track Parameter Deviation. Restored parameter to nominal bounds.,COMPLETED,111,T-201 (Signal Staff)
HIST-00286,TASK-00298,2025-09-03T00:49:00,2025-09-03T03:04:00,Rectified defect: Excessive Rail Wear. Restored parameter to nominal bounds.,COMPLETED,135,T-301 (OHE Gang)
HIST-00287,TASK-00299,2025-01-04T00:16:00,2025-01-04T02:19:00,Rectified defect: Excessive Rail Wear. Restored parameter to nominal bounds.,COMPLETED,123,T-302
HIST-00292,TASK-00304,2024-10-01T10:09:00,2024-10-01T15:05:00,Rectified defect: Track Parameter Deviation. Restored parameter to nominal bounds.,COMPLETED,296,T-201 (Signal Staff)
HIST-00296,TASK-00308,2026-01-28T00:42:00,2026-01-28T03:07:00,Rectified defect: Excessive Rail Wear. Restored parameter to nominal bounds.,COMPLETED,145,T-302
HIST-00323,TASK-00337,2025-08-14T00:48:00,2025-08-14T02:01:00,Rectified defect: Track Parameter Deviation. Restored parameter to nominal bounds.,COMPLETED,73,T-102
HIST-00325,TASK-00339,2025-01-14T00:13:00,2025-01-14T02:13:00,Rectified deferred defect: Excessive Rail Wear.,COMPLETED,120,T-101 (Engineering Gang)
HIST-00324,TASK-00338,2025-01-11T00:00:00,2025-01-11T00:00:00,Task deferred: Scheduled window could not be granted due to traffic overhead.,DEFERRED,0,T-101 (Engineering Gang)
HIST-00329,TASK-00344,2024-04-12T03:59:00,2024-04-12T07:56:00,Rectified defect: Excessive Rail Wear. Restored parameter to nominal bounds.,COMPLETED,237,T-101 (Engineering Gang)
HIST-00331,TASK-00346,2025-12-20T02:51:00,2025-12-20T07:49:00,Rectified defect: Track Parameter Deviation. Restored parameter to nominal bounds.,COMPLETED,298,T-102
HIST-00345,TASK-00360,2025-11-01T00:18:00,2025-11-01T02:36:00,Rectified defect: Excessive Rail Wear. Restored parameter to nominal bounds.,COMPLETED,138,T-201 (Signal Staff)
HIST-00346,TASK-00361,2026-05-14T23:53:00,2026-05-15T00:48:00,Rectified defect: Track Parameter Deviation. Restored parameter to nominal bounds.,COMPLETED,55,T-301 (OHE Gang)
HIST-00355,TASK-00370,2025-02-01T11:06:00,2025-02-01T14:47:00,Rectified defect: Excessive Rail Wear. Restored parameter to nominal bounds.,COMPLETED,221,T-202
HIST-00356,TASK-00371,2025-02-16T00:01:00,2025-02-16T02:27:00,Rectified defect: Excessive Rail Wear. Restored parameter to nominal bounds.,COMPLETED,146,T-202
HIST-00360,TASK-00375,2025-05-24T00:06:00,2025-05-24T01:08:00,Rectified defect: Track Parameter Deviation. Restored parameter to nominal bounds.,COMPLETED,62,T-102
HIST-00365,TASK-00380,2024-05-29T08:04:00,2024-05-29T12:04:00,Rectified deferred defect: Track Parameter Deviation.,COMPLETED,240,T-101 (Engineering Gang)
HIST-00364,TASK-00379,2024-05-25T08:00:00,2024-05-25T08:00:00,Task deferred: Scheduled window could not be granted due to traffic overhead.,DEFERRED,0,T-301 (OHE Gang)
HIST-00374,TASK-00389,2024-09-15T00:56:00,2024-09-15T01:56:00,Rectified defect: Track Parameter Deviation. Restored parameter to nominal bounds.,COMPLETED,60,T-101 (Engineering Gang)
HIST-00378,TASK-00393,2024-03-18T01:00:00,2024-03-18T03:19:00,Rectified defect: Excessive Rail Wear. Restored parameter to nominal bounds.,COMPLETED,139,T-301 (OHE Gang)
HIST-00379,TASK-00394,2025-12-07T00:05:00,2025-12-07T02:15:00,Rectified defect: REPETITIVE: Excessive Rail Wear. Restored parameter to nominal bounds.,COMPLETED,130,T-102
HIST-00382,TASK-00397,2025-08-09T01:56:00,2025-08-09T06:23:00,Rectified defect: Excessive Rail Wear. Restored parameter to nominal bounds.,COMPLETED,267,T-301 (OHE Gang)
HIST-00387,TASK-00402,2024-11-19T06:33:00,2024-11-19T11:13:00,Rectified defect: REPETITIVE: Excessive Rail Wear. Restored parameter to nominal bounds.,COMPLETED,280,T-302
HIST-00397,TASK-00412,2023-12-13T00:23:00,2023-12-13T02:13:00,Rectified defect: Excessive Rail Wear. Restored parameter to nominal bounds.,COMPLETED,110,T-102
HIST-00398,TASK-00413,2024-06-05T11:17:00,2024-06-05T15:39:00,Rectified defect: Excessive Rail Wear. Restored parameter to nominal bounds.,COMPLETED,262,T-302
HIST-00400,TASK-00415,2025-01-08T00:06:00,2025-01-08T02:06:00,Rectified deferred defect: Track Parameter Deviation.,COMPLETED,120,T-101 (Engineering Gang)
HIST-00399,TASK-00414,2025-01-06T00:00:00,2025-01-06T00:00:00,Task deferred: Scheduled window could not be granted due to traffic overhead.,DEFERRED,0,T-101 (Engineering Gang)
HIST-00401,TASK-00416,2026-01-16T00:18:00,2026-01-16T01:28:00,Rectified defect: Track Parameter Deviation. Restored parameter to nominal bounds.,COMPLETED,70,T-201 (Signal Staff)
HIST-00410,TASK-00425,2023-12-11T23:48:00,2023-12-12T02:11:00,Rectified defect: Excessive Rail Wear. Restored parameter to nominal bounds.,COMPLETED,143,T-202
HIST-00423,TASK-00439,2024-04-18T11:21:00,2024-04-18T15:21:00,Rectified deferred defect: Excessive Rail Wear.,COMPLETED,240,T-302
HIST-00422,TASK-00438,2024-04-15T11:00:00,2024-04-15T11:00:00,Task deferred: Scheduled window could not be granted due to traffic overhead.,DEFERRED,0,T-101 (Engineering Gang)
HIST-00425,TASK-00441,2024-02-12T00:05:00,2024-02-12T02:05:00,Rectified deferred defect: Excessive Rail Wear.,COMPLETED,120,T-101 (Engineering Gang)
HIST-00424,TASK-00440,2024-02-10T00:00:00,2024-02-10T00:00:00,Task deferred: Scheduled window could not be granted due to traffic overhead.,DEFERRED,0,T-101 (Engineering Gang)
HIST-00431,TASK-00447,2024-06-29T00:27:00,2024-06-29T01:27:00,Rectified deferred defect: Track Parameter Deviation.,COMPLETED,60,T-201 (Signal Staff)
HIST-00430,TASK-00446,2024-06-23T00:00:00,2024-06-23T00:00:00,Task deferred: Scheduled window could not be granted due to traffic overhead.,DEFERRED,0,T-201 (Signal Staff)
HIST-00433,TASK-00449,2025-09-05T00:01:00,2025-09-05T02:01:00,Rectified deferred defect: Excessive Rail Wear.,COMPLETED,120,T-201 (Signal Staff)
HIST-00432,TASK-00448,2025-08-31T00:00:00,2025-08-31T00:00:00,Task deferred: Scheduled window could not be granted due to traffic overhead.,DEFERRED,0,T-301 (OHE Gang)
HIST-00434,TASK-00450,2025-04-03T07:04:00,2025-04-03T11:21:00,Rectified defect: Excessive Rail Wear. Restored parameter to nominal bounds.,COMPLETED,257,T-202
HIST-00438,TASK-00454,2026-03-16T00:29:00,2026-03-16T02:29:00,Rectified deferred defect: Excessive Rail Wear.,COMPLETED,120,T-201 (Signal Staff)
HIST-00437,TASK-00453,2026-03-08T00:00:00,2026-03-08T00:00:00,Task deferred: Scheduled window could not be granted due to traffic overhead.,DEFERRED,0,T-101 (Engineering Gang)
HIST-00452,TASK-00469,2024-06-27T00:19:00,2024-06-27T01:14:00,Rectified defect: Track Parameter Deviation. Restored parameter to nominal bounds.,COMPLETED,55,T-101 (Engineering Gang)
HIST-00458,TASK-00475,2024-06-05T10:47:00,2024-06-05T15:33:00,Rectified defect: Track Parameter Deviation. Restored parameter to nominal bounds.,COMPLETED,286,T-302
HIST-00459,TASK-00476,2025-03-02T12:54:00,2025-03-02T17:42:00,Rectified defect: Track Parameter Deviation. Restored parameter to nominal bounds.,COMPLETED,288,T-302
HIST-00460,TASK-00477,2025-06-02T00:05:00,2025-06-02T02:17:00,Rectified defect: REPETITIVE: Excessive Rail Wear. Restored parameter to nominal bounds.,COMPLETED,132,T-302
HIST-00463,TASK-00480,2023-08-26T00:32:00,2023-08-26T01:30:00,Rectified defect: Track Parameter Deviation. Restored parameter to nominal bounds.,COMPLETED,58,T-202
HIST-00464,TASK-00481,2025-11-21T00:24:00,2025-11-21T01:18:00,Rectified defect: Track Parameter Deviation. Restored parameter to nominal bounds.,COMPLETED,54,T-301 (OHE Gang)
HIST-00472,TASK-00491,2025-01-03T08:19:00,2025-01-03T12:25:00,Rectified defect: Excessive Rail Wear. Restored parameter to nominal bounds.,COMPLETED,246,T-301 (OHE Gang)
HIST-00485,TASK-00505,2026-04-25T00:17:00,2026-04-25T01:23:00,Rectified defect: Track Parameter Deviation. Restored parameter to nominal bounds.,COMPLETED,66,T-301 (OHE Gang)
HIST-00491,TASK-00512,2025-01-11T10:51:00,2025-01-11T15:40:00,Rectified defect: Track Parameter Deviation. Restored parameter to nominal bounds.,COMPLETED,289,T-302
HIST-00492,TASK-00513,2026-04-28T00:20:00,2026-04-28T01:17:00,Rectified defect: Track Parameter Deviation. Restored parameter to nominal bounds.,COMPLETED,57,T-102
HIST-00500,TASK-00521,2023-11-06T00:39:00,2023-11-06T01:53:00,Rectified defect: Track Parameter Deviation. Restored parameter to nominal bounds.,COMPLETED,74,T-101 (Engineering Gang)
HIST-00508,TASK-00532,2024-11-01T00:27:00,2024-11-01T02:27:00,Rectified defect: Excessive Rail Wear. Restored parameter to nominal bounds.,COMPLETED,120,T-301 (OHE Gang)
HIST-00510,TASK-00534,2026-01-27T06:29:00,2026-01-27T11:23:00,Rectified defect: Excessive Rail Wear. Restored parameter to nominal bounds.,COMPLETED,294,T-102
HIST-00517,TASK-00541,2025-01-19T06:56:00,2025-01-19T11:09:00,Rectified defect: Excessive Rail Wear. Restored parameter to nominal bounds.,COMPLETED,253,T-101 (Engineering Gang)
HIST-00519,TASK-00543,2025-10-24T00:18:00,2025-10-24T02:18:00,Rectified deferred defect: Excessive Rail Wear.,COMPLETED,120,T-201 (Signal Staff)
HIST-00518,TASK-00542,2025-10-19T00:00:00,2025-10-19T00:00:00,Task deferred: Scheduled window could not be granted due to traffic overhead.,DEFERRED,0,T-301 (OHE Gang)
HIST-00520,TASK-00544,2024-05-18T00:04:00,2024-05-18T01:53:00,Rectified defect: Track Parameter Deviation. Restored parameter to nominal bounds.,COMPLETED,109,T-101 (Engineering Gang)
HIST-00521,TASK-00545,2024-08-12T04:13:00,2024-08-12T08:30:00,Rectified defect: Track Parameter Deviation. Restored parameter to nominal bounds.,COMPLETED,257,T-102
HIST-00522,TASK-00546,2025-02-08T07:03:00,2025-02-08T10:54:00,Rectified defect: Excessive Rail Wear. Restored parameter to nominal bounds.,COMPLETED,231,T-301 (OHE Gang)
HIST-00525,TASK-00549,2024-06-15T00:16:00,2024-06-15T01:21:00,Rectified defect: Track Parameter Deviation. Restored parameter to nominal bounds.,COMPLETED,65,T-202
HIST-00529,TASK-00553,2024-12-25T05:00:00,2024-12-25T09:00:00,Rectified deferred defect: Excessive Rail Wear.,COMPLETED,240,T-202
HIST-00528,TASK-00552,2024-12-21T05:00:00,2024-12-21T05:00:00,Task deferred: Scheduled window could not be granted due to traffic overhead.,DEFERRED,0,T-202
HIST-00533,TASK-00557,2025-05-04T00:04:00,2025-05-04T01:06:00,Rectified defect: REPETITIVE: Track Parameter Deviation. Restored parameter to nominal bounds.,COMPLETED,62,T-101 (Engineering Gang)
HIST-00534,TASK-00558,2025-07-11T11:44:00,2025-07-11T16:36:00,Rectified defect: Excessive Rail Wear. Restored parameter to nominal bounds.,COMPLETED,292,T-202
HIST-00538,TASK-00562,2023-12-15T00:36:00,2023-12-15T01:33:00,Rectified defect: Track Parameter Deviation. Restored parameter to nominal bounds.,COMPLETED,57,T-201 (Signal Staff)
HIST-00539,TASK-00563,2024-09-17T00:35:00,2024-09-17T01:49:00,Rectified defect: Track Parameter Deviation. Restored parameter to nominal bounds.,COMPLETED,74,T-301 (OHE Gang)
HIST-00554,TASK-00578,2024-05-03T00:59:00,2024-05-03T03:09:00,Rectified defect: Track Parameter Deviation. Restored parameter to nominal bounds.,COMPLETED,130,T-201 (Signal Staff)
HIST-00555,TASK-00579,2026-05-14T00:39:00,2026-05-14T01:42:00,Rectified defect: Track Parameter Deviation. Restored parameter to nominal bounds.,COMPLETED,63,T-102
HIST-00560,TASK-00584,2026-07-19T01:34:00,2026-07-19T05:51:00,Rectified defect: Excessive Rail Wear. Restored parameter to nominal bounds.,COMPLETED,257,T-301 (OHE Gang)
HIST-00573,TASK-00597,2025-12-14T00:03:00,2025-12-14T02:03:00,Rectified deferred defect: Excessive Rail Wear.,COMPLETED,120,T-302
HIST-00572,TASK-00596,2025-12-06T00:00:00,2025-12-06T00:00:00,Task deferred: Scheduled window could not be granted due to traffic overhead.,DEFERRED,0,T-101 (Engineering Gang)
HIST-00584,TASK-00608,2024-05-05T00:43:00,2024-05-05T02:45:00,Rectified defect: Excessive Rail Wear. Restored parameter to nominal bounds.,COMPLETED,122,T-302
HIST-00586,TASK-00610,2025-01-03T00:46:00,2025-01-03T02:35:00,Rectified defect: Excessive Rail Wear. Restored parameter to nominal bounds.,COMPLETED,109,T-202
HIST-00588,TASK-00612,2024-06-16T00:58:00,2024-06-16T01:58:00,Rectified defect: REPETITIVE: Track Parameter Deviation. Restored parameter to nominal bounds.,COMPLETED,60,T-202
HIST-00591,TASK-00615,2023-09-18T00:25:00,2023-09-18T01:25:00,Rectified deferred defect: Track Parameter Deviation.,COMPLETED,60,T-102
HIST-00590,TASK-00614,2023-09-12T00:00:00,2023-09-12T00:00:00,Task deferred: Scheduled window could not be granted due to traffic overhead.,DEFERRED,0,T-302
HIST-00592,TASK-00616,2024-04-02T07:29:00,2024-04-02T12:07:00,Rectified defect: Track Parameter Deviation. Restored parameter to nominal bounds.,COMPLETED,278,T-101 (Engineering Gang)
HIST-00594,TASK-00618,2026-01-23T00:14:00,2026-01-23T01:14:00,Rectified deferred defect: Track Parameter Deviation.,COMPLETED,60,T-101 (Engineering Gang)
HIST-00593,TASK-00617,2026-01-16T00:00:00,2026-01-16T00:00:00,Task deferred: Scheduled window could not be granted due to traffic overhead.,DEFERRED,0,T-102
HIST-00605,TASK-00629,2025-02-01T00:12:00,2025-02-01T02:10:00,Rectified defect: Excessive Rail Wear. Restored parameter to nominal bounds.,COMPLETED,118,T-102
HIST-00606,TASK-00630,2025-08-01T00:05:00,2025-08-01T02:28:00,Rectified defect: Excessive Rail Wear. Restored parameter to nominal bounds.,COMPLETED,143,T-101 (Engineering Gang)
HIST-00610,TASK-00634,2025-06-30T23:59:00,2025-07-01T01:02:00,Rectified defect: Track Parameter Deviation. Restored parameter to nominal bounds.,COMPLETED,63,T-202
HIST-00612,TASK-00636,2025-12-31T00:03:00,2025-12-31T01:03:00,Rectified deferred defect: Excessive Rail Wear.,COMPLETED,60,T-301 (OHE Gang)
HIST-00611,TASK-00635,2025-12-22T00:00:00,2025-12-22T00:00:00,Task deferred: Scheduled window could not be granted due to traffic overhead.,DEFERRED,0,T-102
HIST-00613,TASK-00637,2026-06-14T00:45:00,2026-06-14T02:38:00,Rectified defect: Excessive Rail Wear. Restored parameter to nominal bounds.,COMPLETED,113,T-201 (Signal Staff)
HIST-00614,TASK-00638,2024-06-25T05:59:00,2024-06-25T10:26:00,Rectified defect: Excessive Rail Wear. Restored parameter to nominal bounds.,COMPLETED,267,T-202
HIST-00615,TASK-00639,2024-10-06T00:35:00,2024-10-06T01:44:00,Rectified defect: Track Parameter Deviation. Restored parameter to nominal bounds.,COMPLETED,69,T-202
HIST-00616,TASK-00640,2025-06-24T23:53:00,2025-06-25T02:10:00,Rectified defect: Excessive Rail Wear. Restored parameter to nominal bounds.,COMPLETED,137,T-202
HIST-00617,TASK-00641,2024-10-17T10:56:00,2024-10-17T15:03:00,Rectified defect: Excessive Rail Wear. Restored parameter to nominal bounds.,COMPLETED,247,T-302
