asset_id,asset_type_id,section_id,location_km,installation_date,status,last_inspected_date
AST-097,AT-002,SEC-004,17.036,2015-10-13,OPERATIONAL,2026-05-24
AST-101,AT-003,SEC-002,6.453,2020-12-06,OPERATIONAL,2026-07-05
AST-102,AT-002,SEC-004,15.03,2013-12-19,OPERATIONAL,2026-06-10
AST-103,AT-004,SEC-006,24.681,2014-07-12,OPERATIONAL,2026-06-16
AST-111,AT-004,SEC-006,21.653,2017-08-26,OPERATIONAL,2026-07-13
AST-112,AT-003,SEC-002,2.174,2018-12-31,OPERATIONAL,2026-06-21
AST-116,AT-001,SEC-005,22.923,2022-07-08,OPERATIONAL,2026-06-25
AST-119,AT-004,SEC-004,8.334,2018-10-25,OPERATIONAL,2026-07-31
AST-124,AT-003,SEC-003,16.754,2018-05-02,OPERATIONAL,2026-06-22
AST-125,AT-004,SEC-003,17.601,2017-04-23,OPERATIONAL,2026-06-07
AST-126,AT-001,SEC-003,10.579,2021-10-24,OPERATIONAL,2026-07-08
AST-128,AT-001,SEC-005,20.871,2021-03-02,OPERATIONAL,2026-07-19
AST-133,AT-002,SEC-001,4.737,2015-07-20,OPERATIONAL,2026-06-12
AST-134,AT-003,SEC-006,24.904,2021-03-24,OPERATIONAL,2026-05-06
AST-141,AT-002,SEC-001,2.231,2017-07-12,OPERATIONAL,2026-07-25
AST-142,AT-004,SEC-005,24.993,2018-05-02,OPERATIONAL,2026-07-06
AST-143,AT-004,SEC-003,10.091,2020-03-16,OPERATIONAL,2026-07-30
AST-144,AT-003,SEC-003,11.216,2015-11-25,OPERATIONAL,2026-07-26
AST-146,AT-004,SEC-004,14.385,2019-11-21,OPERATIONAL,2026-07-18
AST-148,AT-004,SEC-006,21.69,2015-02-20,OPERATIONAL,2026-05-18
AST-151,AT-003,SEC-002,0.965,2020-06-04,OPERATIONAL,2026-05-06
AST-152,AT-002,SEC-002,1.731,2017-02-25,OPERATIONAL,2026-07-22
AST-153,AT-003,SEC-001,6.661,2019-04-06,OPERATIONAL,2026-07-29
AST-154,AT-002,SEC-003,8.163,2016-08-05,OPERATIONAL,2026-06-19
AST-155,AT-001,SEC-001,4.427,2014-10-06,OPERATIONAL,2026-06-15
AST-160,AT-003,SEC-001,7.951,2021-04-03,OPERATIONAL,2026-06-12
AST-162,AT-004,SEC-004,18.448,2019-04-02,OPERATIONAL,2026-06-19
AST-166,AT-004,SEC-004,15.928,2017-04-25,OPERATIONAL,2026-07-03
AST-167,AT-002,SEC-003,16.13,2014-09-13,OPERATIONAL,2026-07-29
AST-175,AT-003,SEC-001,0.731,2015-01-09,OPERATIONAL,2026-06-26
AST-178,AT-004,SEC-003,10.087,2016-01-08,OPERATIONAL,2026-05-29
AST-180,AT-001,SEC-002,2.638,2014-10-21,OPERATIONAL,2026-06-05
AST-182,AT-003,SEC-001,7.761,2018-01-19,OPERATIONAL,2026-06-17
AST-186,AT-002,SEC-003,13.038,2014-10-02,OPERATIONAL,2026-05-09
AST-189,AT-001,SEC-004,18.891,2015-04-27,OPERATIONAL,2026-06-25
AST-191,AT-004,SEC-004,10.803,2016-05-27,OPERATIONAL,2026-07-20
AST-192,AT-002,SEC-005,24.074,2021-01-19,OPERATIONAL,2026-07-29
AST-196,AT-004,SEC-004,18.728,2020-06-20,OPERATIONAL,2026-06-03
AST-199,AT-002,SEC-004,19.095,2021-03-02,OPERATIONAL,2026-06-03
AST-201,AT-004,SEC-001,5.78,2017-12-26,OPERATIONAL,2026-05-11
AST-203,AT-004,SEC-006,20.223,2018-11-25,OPERATIONAL,2026-07-20
AST-206,AT-003,SEC-002,5.974,2017-09-19,OPERATIONAL,2026-06-15
AST-209,AT-003,SEC-003,12.953,2019-11-05,OPERATIONAL,2026-07-17
AST-211,AT-004,SEC-005,25.648,2017-01-01,OPERATIONAL,2026-06-26
AST-215,AT-004,SEC-006,21.751,2019-03-13,OPERATIONAL,2026-06-17
AST-216,AT-004,SEC-004,9.227,2018-04-22,OPERATIONAL,2026-06-29
AST-218,AT-004,SEC-003,8.093,2014-11-22,OPERATIONAL,2026-05-10
AST-225,AT-002,SEC-005,27.388,2018-06-25,OPERATIONAL,2026-07-04
AST-230,AT-004,SEC-001,2.116,2021-03-13,OPERATIONAL,2026-06-27
AST-235,AT-001,SEC-001,2.435,2017-01-22,OPERATIONAL,2026-05-11
AST-236,AT-002,SEC-005,20.721,2017-06-30,OPERATIONAL,2026-05-29
AST-237,AT-004,SEC-005,26.18,2020-11-07,OPERATIONAL,2026-06-26
AST-241,AT-003,SEC-001,3.185,2020-06-15,OPERATIONAL,2026-05-03
AST-244,AT-002,SEC-005,21.347,2014-01-01,OPERATIONAL,2026-06-23
AST-246,AT-002,SEC-005,19.526,2020-12-17,OPERATIONAL,2026-07-24
AST-250,AT-004,SEC-005,20.523,2021-11-14,OPERATIONAL,2026-05-20
AST-258,AT-004,SEC-001,6.345,2021-04-20,OPERATIONAL,2026-07-02
AST-261,AT-001,SEC-003,12.908,2015-02-15,OPERATIONAL,2026-07-21
AST-262,AT-002,SEC-006,27.807,2021-10-31,OPERATIONAL,2026-05-03
AST-263,AT-001,SEC-001,3.455,2014-03-27,OPERATIONAL,2026-06-29
AST-268,AT-004,SEC-002,6.778,2018-08-28,OPERATIONAL,2026-07-01
AST-270,AT-004,SEC-005,28.271,2015-08-12,OPERATIONAL,2026-06-18
AST-277,AT-001,SEC-001,1.245,2014-02-14,OPERATIONAL,2026-07-23
AST-282,AT-001,SEC-001,1.635,2020-03-19,OPERATIONAL,2026-07-26
AST-284,AT-004,SEC-002,1.033,2016-08-11,OPERATIONAL,2026-05-05
AST-286,AT-001,SEC-004,8.216,2021-09-17,OPERATIONAL,2026-07-24
AST-289,AT-004,SEC-006,27.778,2021-08-06,OPERATIONAL,2026-05-15
AST-292,AT-002,SEC-001,4.084,2021-04-21,OPERATIONAL,2026-05-19
AST-295,AT-002,SEC-006,20.178,2013-12-01,OPERATIONAL,2026-06-01
AST-298,AT-003,SEC-002,3.518,2017-04-29,OPERATIONAL,2026-05-06
AST-301,AT-003,SEC-001,5.157,2021-07-28,OPERATIONAL,2026-05-13
AST-307,AT-004,SEC-004,14.027,2015-09-30,OPERATIONAL,2026-05-26
AST-308,AT-003,SEC-003,12.455,2013-11-24,OPERATIONAL,2026-07-07
AST-309,AT-001,SEC-006,25.326,2021-11-05,OPERATIONAL,2026-05-05
AST-310,AT-004,SEC-003,10.898,2015-03-22,OPERATIONAL,2026-06-26
AST-314,AT-004,SEC-006,26.625,2021-02-24,OPERATIONAL,2026-07-02
AST-317,AT-004,SEC-002,1.812,2021-01-15,OPERATIONAL,2026-05-19
AST-318,AT-003,SEC-001,4.062,2016-07-13,OPERATIONAL,2026-05-25
AST-323,AT-004,SEC-005,22.064,2014-03-10,OPERATIONAL,2026-05-06
AST-330,AT-002,SEC-003,13.167,2016-10-29,OPERATIONAL,2026-07-04
AST-331,AT-004,SEC-001,7.571,2020-02-04,OPERATIONAL,2026-07-25
AST-334,AT-003,SEC-001,6.713,2015-04-18,OPERATIONAL,2026-05-26
AST-335,AT-002,SEC-002,0.306,2017-04-14,OPERATIONAL,2026-06-27
AST-337,AT-001,SEC-001,2.047,2020-11-27,OPERATIONAL,2026-06-05
AST-339,AT-003,SEC-001,0.382,2017-11-16,OPERATIONAL,2026-06-04
AST-343,AT-004,SEC-002,5.315,2021-08-16,OPERATIONAL,2026-07-02
AST-346,AT-004,SEC-003,10.917,2022-05-27,OPERATIONAL,2026-05-26
AST-347,AT-001,SEC-003,10.773,2015-03-20,OPERATIONAL,2026-05-25
AST-349,AT-003,SEC-006,21.076,2013-11-05,OPERATIONAL,2026-05-26
AST-351,AT-004,SEC-001,2.348,2022-02-03,OPERATIONAL,2026-05-22
AST-353,AT-004,SEC-003,8.421,2015-05-01,OPERATIONAL,2026-05-04
AST-354,AT-003,SEC-001,6.926,2018-11-11,OPERATIONAL,2026-07-27
AST-355,AT-003,SEC-004,18.229,2014-04-01,OPERATIONAL,2026-06-13
AST-360,AT-004,SEC-005,25.959,2020-09-18,OPERATIONAL,2026-06-27
AST-367,AT-002,SEC-006,23.549,2018-06-04,OPERATIONAL,2026-07-08
AST-368,AT-001,SEC-005,20.739,2018-06-20,OPERATIONAL,2026-06-30
AST-369,AT-003,SEC-002,7.684,2022-04-17,OPERATIONAL,2026-05-06
AST-371,AT-003,SEC-006,23.516,2015-09-21,OPERATIONAL,2026-05-22
AST-372,AT-004,SEC-002,0.981,2021-10-02,OPERATIONAL,2026-07-05
AST-376,AT-003,SEC-005,21.518,2020-04-30,OPERATIONAL,2026-06-30
AST-379,AT-004,SEC-006,25.97,2016-09-08,OPERATIONAL,2026-05-29
AST-382,AT-002,SEC-002,3.461,2021-12-18,OPERATIONAL,2026-05-05
AST-384,AT-002,SEC-003,18.896,2016-10-06,OPERATIONAL,2026-05-19
AST-388,AT-003,SEC-005,19.871,2022-04-07,OPERATIONAL,2026-07-15
AST-389,AT-003,SEC-006,21.397,2016-03-02,OPERATIONAL,2026-07-21
AST-391,AT-003,SEC-004,10.816,2014-11-26,OPERATIONAL,2026-07-26
AST-394,AT-003,SEC-006,28.392,2018-09-17,OPERATIONAL,2026-06-10
AST-396,AT-004,SEC-001,2.14,2019-10-21,OPERATIONAL,2026-07-13
AST-397,AT-001,SEC-003,18.872,2015-09-07,OPERATIONAL,2026-05-04
AST-399,AT-002,SEC-004,19.454,2017-05-07,OPERATIONAL,2026-05-16
AST-402,AT-004,SEC-005,27.441,2015-04-01,OPERATIONAL,2026-06-14
AST-405,AT-004,SEC-001,4.562,2020-05-26,OPERATIONAL,2026-06-11
AST-406,AT-003,SEC-001,3.091,2017-07-14,OPERATIONAL,2026-05-28
AST-408,AT-001,SEC-004,12.292,2018-10-13,OPERATIONAL,2026-07-06
AST-411,AT-004,SEC-005,23.613,2015-10-14,OPERATIONAL,2026-05-18
AST-413,AT-003,SEC-005,22.527,2016-11-13,OPERATIONAL,2026-07-10
AST-415,AT-001,SEC-004,14.713,2013-08-25,OPERATIONAL,2026-05-07
AST-420,AT-001,SEC-002,0.151,2019-01-25,OPERATIONAL,2026-05-19
AST-423,AT-002,SEC-005,22.425,2015-02-27,OPERATIONAL,2026-07-13
AST-428,AT-003,SEC-003,16.106,2014-11-04,OPERATIONAL,2026-07-18
AST-431,AT-004,SEC-003,18.978,2020-12-10,OPERATIONAL,2026-07-22
AST-432,AT-003,SEC-006,20.211,2017-08-16,OPERATIONAL,2026-07-19
AST-434,AT-003,SEC-002,0.874,2014-04-11,OPERATIONAL,2026-05-16
AST-436,AT-002,SEC-001,0.802,2018-11-18,OPERATIONAL,2026-05-19
AST-440,AT-001,SEC-006,24.667,2016-08-01,OPERATIONAL,2026-05-28
AST-444,AT-001,SEC-003,11.272,2015-05-24,OPERATIONAL,2026-06-28
AST-446,AT-001,SEC-003,9.869,2017-06-09,OPERATIONAL,2026-06-21
AST-448,AT-002,SEC-002,4.888,2015-06-03,OPERATIONAL,2026-06-30
AST-451,AT-002,SEC-001,2.086,2019-12-11,OPERATIONAL,2026-07-22
AST-454,AT-001,SEC-004,11.528,2018-01-14,OPERATIONAL,2026-06-23
AST-456,AT-002,SEC-002,7.659,2017-03-22,OPERATIONAL,2026-07-20
AST-457,AT-003,SEC-004,16.072,2017-04-21,OPERATIONAL,2026-05-20
AST-459,AT-001,SEC-005,23.521,2014-09-10,OPERATIONAL,2026-06-14
AST-460,AT-001,SEC-001,6.63,2016-11-30,OPERATIONAL,2026-05-08
AST-461,AT-002,SEC-002,2.625,2016-09-30,OPERATIONAL,2026-06-21
AST-471,AT-002,SEC-006,27.243,2021-04-03,OPERATIONAL,2026-05-04
AST-472,AT-004,SEC-005,20.646,2020-02-01,OPERATIONAL,2026-05-28
AST-475,AT-003,SEC-002,2.205,2014-06-15,OPERATIONAL,2026-07-22
AST-479,AT-001,SEC-004,13.048,2016-07-13,OPERATIONAL,2026-06-09
AST-480,AT-001,SEC-002,4.031,2019-05-05,OPERATIONAL,2026-06-15
AST-481,AT-003,SEC-005,24.881,2015-01-16,OPERATIONAL,2026-07-09
AST-486,AT-003,SEC-006,23.247,2020-11-28,OPERATIONAL,2026-07-08
AST-487,AT-002,SEC-005,23.762,2020-01-21,OPERATIONAL,2026-06-26
AST-488,AT-002,SEC-004,18.52,2016-04-11,OPERATIONAL,2026-06-24
AST-490,AT-002,SEC-003,15.437,2017-07-16,OPERATIONAL,2026-07-06
AST-492,AT-004,SEC-006,24.945,2022-02-21,OPERATIONAL,2026-05-05
AST-494,AT-002,SEC-003,11.487,2022-05-31,OPERATIONAL,2026-06-14
AST-495,AT-002,SEC-006,20.556,2014-02-15,OPERATIONAL,2026-06-15
AST-497,AT-002,SEC-005,22.395,2019-05-30,OPERATIONAL,2026-06-16
AST-498,AT-003,SEC-003,11.008,2016-10-31,OPERATIONAL,2026-05-04
AST-501,AT-002,SEC-006,20.813,2019-08-29,OPERATIONAL,2026-07-23
AST-503,AT-003,SEC-002,3.039,2019-10-30,OPERATIONAL,2026-06-08
AST-508,AT-001,SEC-006,19.937,2022-07-06,OPERATIONAL,2026-07-30
AST-510,AT-004,SEC-003,8.695,2015-06-07,OPERATIONAL,2026-06-13
AST-512,AT-004,SEC-001,0.134,2014-06-26,OPERATIONAL,2026-07-08
AST-513,AT-003,SEC-001,4.018,2014-10-04,OPERATIONAL,2026-06-22
AST-515,AT-002,SEC-005,24.238,2018-08-11,OPERATIONAL,2026-06-18
AST-516,AT-004,SEC-001,2.984,2018-01-11,OPERATIONAL,2026-07-14
AST-525,AT-003,SEC-001,7.692,2016-01-01,OPERATIONAL,2026-06-27
AST-526,AT-004,SEC-001,2.394,2016-04-05,OPERATIONAL,2026-06-24
AST-527,AT-004,SEC-006,27.569,2018-11-12,OPERATIONAL,2026-05-10
AST-528,AT-002,SEC-006,26.017,2016-12-19,OPERATIONAL,2026-07-17
AST-531,AT-003,SEC-001,5.073,2013-10-18,OPERATIONAL,2026-06-12
AST-535,AT-002,SEC-006,23.007,2018-07-16,OPERATIONAL,2026-05-04
AST-536,AT-001,SEC-003,13.114,2014-01-17,OPERATIONAL,2026-07-27
AST-537,AT-002,SEC-001,1.499,2017-07-20,OPERATIONAL,2026-05-21
AST-539,AT-001,SEC-005,24.882,2018-12-12,OPERATIONAL,2026-05-22
AST-541,AT-002,SEC-005,24.19,2014-11-24,OPERATIONAL,2026-07-18
AST-542,AT-002,SEC-003,11.463,2017-01-20,OPERATIONAL,2026-06-23
AST-543,AT-002,SEC-004,11.174,2019-03-23,OPERATIONAL,2026-06-25
AST-546,AT-003,SEC-001,7.591,2018-11-10,OPERATIONAL,2026-06-20
AST-549,AT-002,SEC-004,11.613,2018-02-12,OPERATIONAL,2026-06-08
AST-553,AT-002,SEC-006,26.409,2022-04-13,OPERATIONAL,2026-06-20
AST-555,AT-001,SEC-004,15.739,2021-01-08,OPERATIONAL,2026-07-21
AST-563,AT-004,SEC-001,0.084,2019-09-07,OPERATIONAL,2026-07-23
AST-564,AT-002,SEC-004,12.302,2017-05-23,OPERATIONAL,2026-06-28
AST-567,AT-002,SEC-003,11.587,2017-06-23,OPERATIONAL,2026-07-17
AST-571,AT-002,SEC-006,21.695,2020-08-17,OPERATIONAL,2026-06-05
AST-573,AT-004,SEC-006,21.16,2015-05-27,OPERATIONAL,2026-05-18
AST-576,AT-001,SEC-005,20.416,2016-07-24,OPERATIONAL,2026-07-14
AST-577,AT-003,SEC-002,3.66,2019-08-23,OPERATIONAL,2026-07-06
AST-580,AT-004,SEC-005,21.053,2015-01-11,OPERATIONAL,2026-06-14
AST-582,AT-001,SEC-002,2.443,2020-07-13,OPERATIONAL,2026-05-29
AST-583,AT-002,SEC-005,22.996,2015-11-24,OPERATIONAL,2026-05-21
AST-584,AT-004,SEC-004,10.136,2015-06-16,OPERATIONAL,2026-05-27
AST-586,AT-003,SEC-004,15.123,2018-07-23,OPERATIONAL,2026-07-03
AST-590,AT-002,SEC-003,8.376,2020-01-24,OPERATIONAL,2026-07-13
AST-593,AT-003,SEC-005,26.903,2022-02-12,OPERATIONAL,2026-06-02
AST-595,AT-002,SEC-003,18.06,2022-03-22,OPERATIONAL,2026-05-17
AST-599,AT-002,SEC-002,6.444,2016-03-10,OPERATIONAL,2026-05-03
AST-600,AT-003,SEC-005,24.349,2018-12-15,OPERATIONAL,2026-07-15
AST-607,AT-001,SEC-004,13.93,2019-06-19,OPERATIONAL,2026-07-06
AST-611,AT-004,SEC-002,3.958,2018-12-18,OPERATIONAL,2026-05-24
AST-614,AT-001,SEC-006,26.555,2017-06-06,OPERATIONAL,2026-06-08
AST-615,AT-002,SEC-004,13.25,2017-10-14,OPERATIONAL,2026-06-18
AST-616,AT-002,SEC-006,22.217,2019-07-06,OPERATIONAL,2026-05-20
AST-617,AT-003,SEC-003,8.948,2015-02-18,OPERATIONAL,2026-07-10
AST-620,AT-002,SEC-004,8.896,2015-12-05,OPERATIONAL,2026-07-27
AST-621,AT-004,SEC-001,0.065,2018-09-24,OPERATIONAL,2026-05-26
AST-623,AT-004,SEC-001,5.846,2021-06-08,OPERATIONAL,2026-06-13
AST-624,AT-003,SEC-003,9.577,2013-11-28,OPERATIONAL,2026-06-08
AST-626,AT-001,SEC-005,25.35,2017-08-25,OPERATIONAL,2026-05-20
AST-627,AT-002,SEC-006,26.234,2017-12-19,OPERATIONAL,2026-05-18
AST-629,AT-001,SEC-005,26.07,2018-08-23,OPERATIONAL,2026-07-09
AST-631,AT-003,SEC-006,19.741,2015-03-15,OPERATIONAL,2026-05-05
AST-639,AT-002,SEC-001,7.381,2013-09-25,OPERATIONAL,2026-05-19
AST-640,AT-003,SEC-006,25.914,2013-12-24,OPERATIONAL,2026-06-21
AST-646,AT-001,SEC-003,15.66,2015-03-16,OPERATIONAL,2026-06-11
AST-648,AT-004,SEC-003,14.015,2013-10-20,OPERATIONAL,2026-05-27
AST-652,AT-001,SEC-004,13.235,2018-07-18,OPERATIONAL,2026-06-01
AST-653,AT-002,SEC-003,9.809,2013-11-29,OPERATIONAL,2026-05-22
AST-654,AT-001,SEC-002,5.926,2022-07-22,OPERATIONAL,2026-05-23
AST-655,AT-001,SEC-002,0.368,2018-07-03,OPERATIONAL,2026-05-18
AST-656,AT-002,SEC-002,7.449,2022-03-10,OPERATIONAL,2026-06-26
AST-659,AT-001,SEC-002,1.785,2016-10-19,OPERATIONAL,2026-05-23
AST-662,AT-002,SEC-003,14.484,2019-03-06,OPERATIONAL,2026-06-22
AST-666,AT-003,SEC-006,27.056,2022-06-23,OPERATIONAL,2026-06-06
AST-670,AT-002,SEC-005,23.218,2018-05-29,OPERATIONAL,2026-06-04
AST-675,AT-003,SEC-002,0.597,2020-04-23,OPERATIONAL,2026-05-23
AST-676,AT-001,SEC-002,0.845,2017-07-17,OPERATIONAL,2026-07-09
AST-678,AT-003,SEC-004,11.048,2021-03-28,OPERATIONAL,2026-05-25
AST-679,AT-003,SEC-006,25.772,2022-02-17,OPERATIONAL,2026-06-02
AST-680,AT-003,SEC-002,0.73,2019-10-20,OPERATIONAL,2026-07-30
AST-682,AT-002,SEC-001,7.617,2017-07-06,OPERATIONAL,2026-07-20
AST-687,AT-001,SEC-002,7.22,2017-08-11,OPERATIONAL,2026-05-15
AST-689,AT-004,SEC-006,23.055,2022-04-03,OPERATIONAL,2026-06-13
AST-690,AT-004,SEC-002,2.832,2020-06-26,OPERATIONAL,2026-07-03
AST-691,AT-004,SEC-002,0.277,2015-08-22,OPERATIONAL,2026-06-27
AST-694,AT-002,SEC-006,28.447,2016-06-27,OPERATIONAL,2026-06-23
AST-697,AT-001,SEC-003,14.867,2022-04-03,OPERATIONAL,2026-05-15
AST-700,AT-002,SEC-003,14.137,2013-09-17,OPERATIONAL,2026-07-18
AST-702,AT-002,SEC-002,1.892,2019-01-07,OPERATIONAL,2026-05-21
AST-707,AT-004,SEC-001,2.654,2015-09-12,OPERATIONAL,2026-05-11
AST-708,AT-002,SEC-003,16.245,2018-12-15,OPERATIONAL,2026-06-27
AST-709,AT-002,SEC-005,25.842,2020-12-29,OPERATIONAL,2026-05-21
AST-711,AT-004,SEC-005,20.409,2019-03-14,OPERATIONAL,2026-05-23
AST-712,AT-002,SEC-006,28.038,2013-09-14,OPERATIONAL,2026-06-11
AST-716,AT-002,SEC-006,19.516,2014-09-17,OPERATIONAL,2026-05-16
AST-718,AT-002,SEC-006,24.59,2017-01-07,OPERATIONAL,2026-07-21
AST-719,AT-001,SEC-002,2.774,2019-01-01,OPERATIONAL,2026-07-18
AST-720,AT-001,SEC-006,25.53,2014-05-28,OPERATIONAL,2026-05-08
AST-723,AT-004,SEC-004,16.425,2020-09-19,OPERATIONAL,2026-07-03
AST-725,AT-004,SEC-005,25.359,2014-11-17,OPERATIONAL,2026-07-15
AST-726,AT-004,SEC-001,6.394,2022-03-18,OPERATIONAL,2026-07-31
AST-727,AT-003,SEC-003,18.944,2021-10-02,OPERATIONAL,2026-07-19
AST-728,AT-004,SEC-002,5.856,2016-06-13,OPERATIONAL,2026-05-31
AST-731,AT-004,SEC-002,0.428,2018-11-14,OPERATIONAL,2026-06-04
AST-732,AT-002,SEC-004,16.018,2014-06-27,OPERATIONAL,2026-05-29
AST-734,AT-001,SEC-004,14.575,2017-01-29,OPERATIONAL,2026-07-23
AST-735,AT-003,SEC-001,3.421,2019-04-13,OPERATIONAL,2026-06-04
AST-737,AT-002,SEC-006,22.126,2021-08-31,OPERATIONAL,2026-05-31
AST-740,AT-004,SEC-003,10.146,2022-01-31,OPERATIONAL,2026-07-29
AST-741,AT-004,SEC-003,10.602,2019-07-28,OPERATIONAL,2026-06-12
AST-744,AT-001,SEC-004,17.412,2017-11-21,OPERATIONAL,2026-07-03
AST-747,AT-002,SEC-001,7.594,2017-07-19,OPERATIONAL,2026-06-21
AST-748,AT-002,SEC-002,6.468,2021-03-03,OPERATIONAL,2026-07-19
AST-749,AT-001,SEC-006,23.419,2015-07-20,OPERATIONAL,2026-06-26
AST-750,AT-003,SEC-003,18.474,2021-10-31,OPERATIONAL,2026-07-03
AST-001,AT-005,SEC-006,21.975,2020-01-30,OPERATIONAL,2026-07-19
AST-005,AT-008,SEC-002,3.594,2019-06-19,OPERATIONAL,2026-07-27
AST-009,AT-009,SEC-001,7.785,2018-05-04,OPERATIONAL,2026-07-25
AST-011,AT-005,SEC-001,5.29,2013-11-30,OPERATIONAL,2026-07-29
AST-014,AT-005,SEC-005,25.215,2016-08-05,OPERATIONAL,2026-07-22
AST-015,AT-006,SEC-004,12.364,2015-05-29,OPERATIONAL,2026-07-13
AST-016,AT-006,SEC-006,22.419,2013-12-19,OPERATIONAL,2026-07-06
AST-020,AT-007,SEC-002,1.973,2016-04-15,OPERATIONAL,2026-07-20
AST-021,AT-009,SEC-004,18.325,2018-02-08,OPERATIONAL,2026-07-28
AST-024,AT-009,SEC-001,3.078,2015-11-26,OPERATIONAL,2026-07-17
AST-026,AT-005,SEC-006,27.463,2014-03-01,OPERATIONAL,2026-07-19
AST-028,AT-007,SEC-005,26.358,2016-11-21,OPERATIONAL,2026-07-22
AST-030,AT-006,SEC-002,2.991,2020-10-09,OPERATIONAL,2026-07-28
AST-031,AT-009,SEC-001,4.792,2017-02-07,OPERATIONAL,2026-07-28
AST-036,AT-006,SEC-005,26.297,2014-11-06,OPERATIONAL,2026-07-29
AST-040,AT-005,SEC-002,0.539,2022-03-26,OPERATIONAL,2026-07-14
AST-042,AT-009,SEC-002,5.787,2016-03-07,OPERATIONAL,2026-07-14
AST-043,AT-006,SEC-004,17.286,2020-06-13,OPERATIONAL,2026-07-15
AST-049,AT-009,SEC-001,0.405,2016-07-09,OPERATIONAL,2026-07-21
AST-051,AT-008,SEC-001,1.317,2022-07-24,OPERATIONAL,2026-07-14
AST-055,AT-005,SEC-006,22.322,2022-01-08,OPERATIONAL,2026-07-31
AST-056,AT-009,SEC-005,20.917,2016-11-20,OPERATIONAL,2026-07-18
AST-060,AT-009,SEC-003,18.749,2020-04-17,OPERATIONAL,2026-07-12
AST-061,AT-007,SEC-002,2.125,2021-02-11,OPERATIONAL,2026-07-21
